sound name,total duration,intensity,spectraltilt,median F0,mean F0,sd F0,min F0,max F0,number pulses,number periods,mean periods,sd period,fraction of locally unvoiced frames,fraction,number of voice breaks,degree of voice breaks,degree,jitter local,jitter local abs,jitter rap,jitter ppq5,shimmer local,shimmer local db,shimmer apq3,shimmer apq5,shimmer apq11,mean autocorr,mean NHR,mean HNR,F1,F2,F3,F4
đù ,0.238,70.618,-26.265,138.737,137.054,4.106,125.563,141.193,1,0, --undefined-- , --undefined-- ,0,of locally unvoiced frames: 0   (0 / 50),0,0,of voice breaks: 0   (0 seconds / 0 seconds), --undefined-- , --undefined-- , --undefined-- , --undefined-- , --undefined--, --undefined-- , --undefined-- , --undefined-- , --undefined-- ,0.99,0.011,23.206,362.145,979.558,2376.302,3384.516
đù ,0.2,69.961,-26.265,135.514,134.909,3.403,125.732,139.214,24,23,7.44,0.237,0,of locally unvoiced frames: 0   (0 / 40),0,0,of voice breaks: 0   (0 seconds / 0.199550 seconds),0.688,51.162,0.155,0.213,2.96,0.282,1.054,1.438,2.484,0.991,0.01,22.583,362.145,979.558,2376.302,3384.516
đụ ,0.219,71.049,-21.845,117.327,123.726,56.804,66.357,191.875,2,0, --undefined-- , --undefined-- ,2.222,of locally unvoiced frames: 2.222%   (1 / 45),0,0,of voice breaks: 0   (0 seconds / 0.219002 seconds), --undefined-- , --undefined-- , --undefined-- , --undefined-- , --undefined--, --undefined-- , --undefined-- , --undefined-- , --undefined-- ,0.901,0.14,12.759,385.484,969.349,2338.176,3313.008
đụ ,0.187,67.335,-21.845,142.598,136.287,37.736,62.762,179.366,24,23,7.003,1.666,0,of locally unvoiced frames: 0   (0 / 37),0,0,of voice breaks: 0   (0 seconds / 0.187090 seconds),6.6,462.191,3.215,6.172,15.269,2.306,6.477,6.683,14.91,0.851,0.211,10.381,385.484,969.349,2338.176,3313.008
đũ ,0.206,71.074,-24.03,194.294,193.322,11.705,170.762,208.67,1,0, --undefined-- , --undefined-- ,0,of locally unvoiced frames: 0   (0 / 42),0,0,of voice breaks: 0   (0 seconds / 0 seconds), --undefined-- , --undefined-- , --undefined-- , --undefined-- , --undefined--, --undefined-- , --undefined-- , --undefined-- , --undefined-- ,0.955,0.052,17.068,375.391,989.135,2375.923,3460.634
đũ ,0.187,69.339,-24.03,92.956,92.231,5.145,81.293,98.691,16,15,10.811,0.622,0,of locally unvoiced frames: 0   (0 / 37),0,0,of voice breaks: 0   (0 seconds / 0.186920 seconds),1.8,194.574,0.419,1.106,10.272,0.915,2.402,3.664,19.171,0.954,0.049,14.553,375.391,989.135,2375.923,3460.634
đú ,0.185,70.715,-27.712,136.682,140.161,6.781,133.502,155.392,1,0, --undefined-- , --undefined-- ,0,of locally unvoiced frames: 0   (0 / 37),0,0,of voice breaks: 0   (0 seconds / 0 seconds), --undefined-- , --undefined-- , --undefined-- , --undefined-- , --undefined--, --undefined-- , --undefined-- , --undefined-- , --undefined-- ,0.99,0.011,21.656,346.693,926.136,2506.866,3452.914
đú ,0.192,68.966,-27.712,136.714,139.957,5.796,133.473,151.901,25,24,7.128,0.317,0,of locally unvoiced frames: 0   (0 / 39),0,0,of voice breaks: 0   (0 seconds / 0.192336 seconds),0.705,50.236,0.121,0.23,2.953,0.273,0.6,1.064,2.817,0.987,0.014,22.154,346.693,926.136,2506.866,3452.914
đủ ,0.187,71.846,-26.301,137.996,135.982,21.349,107.327,162.774,1,0, --undefined-- , --undefined-- ,0,of locally unvoiced frames: 0   (0 / 37),0,0,of voice breaks: 0   (0 seconds / 0 seconds), --undefined-- , --undefined-- , --undefined-- , --undefined-- , --undefined--, --undefined-- , --undefined-- , --undefined-- , --undefined-- ,0.925,0.089,13.59,365.305,935.187,2505.126,3527.47
đủ ,0.215,69.167,-26.301,131.178,132.324,21.615,104.886,161.833,26,25,7.672,1.302,0,of locally unvoiced frames: 0   (0 / 44),0,0,of voice breaks: 0   (0 seconds / 0.215325 seconds),1.944,149.178,0.25,0.403,4.62,0.451,1.094,2.431,8.482,0.963,0.04,16.235,365.305,935.187,2505.126,3527.47
đu ,0.188,72.128,-26.067,163.653,163.319,1.504,158.93,165.363,1,0, --undefined-- , --undefined-- ,0,of locally unvoiced frames: 0   (0 / 38),0,0,of voice breaks: 0   (0 seconds / 0 seconds), --undefined-- , --undefined-- , --undefined-- , --undefined-- , --undefined--, --undefined-- , --undefined-- , --undefined-- , --undefined-- ,0.994,0.007,26.036,331.984,964.1,2400.902,3382.576
đu ,0.186,69.747,-26.067,159.434,158.382,2.581,153.03,161.322,26,25,6.321,0.117,0,of locally unvoiced frames: 0   (0 / 37),0,0,of voice breaks: 0   (0 seconds / 0.186387 seconds),0.427,26.971,0.104,0.154,1.627,0.148,0.468,0.775,0.898,0.996,0.004,26.193,331.984,964.1,2400.902,3382.576
thà ,0.227,72.867,-16.93,127.637,128.168,4.106,121.53,137.243,1,0, --undefined-- , --undefined-- ,0,of locally unvoiced frames: 0   (0 / 47),0,0,of voice breaks: 0   (0 seconds / 0 seconds), --undefined-- , --undefined-- , --undefined-- , --undefined-- , --undefined--, --undefined-- , --undefined-- , --undefined-- , --undefined-- ,0.972,0.029,16.508,816.841,1474.055,2322.652,3564.316
thà ,0.192,71.57,-16.93,119.379,120.31,4.018,115.746,131.638,21,20,8.345,0.264,0,of locally unvoiced frames: 0   (0 / 39),0,0,of voice breaks: 0   (0 seconds / 0.192085 seconds),0.782,65.239,0.245,0.287,3.188,0.29,1.557,1.991,2.505,0.954,0.052,16.138,816.841,1474.055,2322.652,3564.316
thã ,0.149,68.675,-14.017,91.271,105.251,36.941,78.322,174.203,3,0, --undefined-- , --undefined-- ,10.714,of locally unvoiced frames: 10.714%   (3 / 28),1,37.856,of voice breaks: 37.856%   (0.056250 seconds / 0.148588 seconds), --undefined-- , --undefined-- , --undefined-- , --undefined-- , --undefined--, --undefined-- , --undefined-- , --undefined-- , --undefined-- ,0.777,0.32,6.083,888.66,1543.067,2545.436,3861.404
thã ,0.166,69.101,-14.017,117.556,123.473,33.451,90.729,165.411,16,14,8.376,2.081,6.25,of locally unvoiced frames: 6.250%   (2 / 32),1,16.424,of voice breaks: 16.424%   (0.027187 seconds / 0.165537 seconds),5.358,448.807,3.874,3.307,18.438,1.881,12.738,17.567, --undefined-- ,0.773,0.334,5.949,888.66,1543.067,2545.436,3861.404
thả ,0.207,70.346,-16.625,113.461,126.649,21.129,106.63,165.001,24,23,8.064,1.369,2.381,of locally unvoiced frames: 2.381%   (1 / 42),0,0,of voice breaks: 0   (0 seconds / 0.207179 seconds),4.792,386.427,2.162,2.229,8.623,0.862,4.331,3.999,10.424,0.733,0.452,5.707,829.208,1452.368,2601.965,3681.021
thạ ,0.227,68.19,-15.472,172.202,172.432,6.277,163.899,181.27,1,0, --undefined-- , --undefined-- ,21.277,of locally unvoiced frames: 21.277%   (10 / 47),0,0,of voice breaks: 0   (0 seconds / 0 seconds), --undefined-- , --undefined-- , --undefined-- , --undefined-- , --undefined--, --undefined-- , --undefined-- , --undefined-- , --undefined-- ,0.851,0.219,9.325,879.769,1529.281,2627.343,3808.508
thạ ,0.189,68.471,-15.472,118.78,124.996,25.634,95.742,161.218,18,17,8.123,1.699,15.789,of locally unvoiced frames: 15.789%   (6 / 38),0,0,of voice breaks: 0   (0 seconds / 0.188519 seconds),5.443,442.137,2.652,3.403,14.476,1.215,6.493,7.343,7.866,0.792,0.305,7.293,879.769,1529.281,2627.343,3808.508
tha ,0.173,72.222,-16.922,154.856,155.379,2.234,151.473,159.837,1,0, --undefined-- , --undefined-- ,0,of locally unvoiced frames: 0   (0 / 34),0,0,of voice breaks: 0   (0 seconds / 0 seconds), --undefined-- , --undefined-- , --undefined-- , --undefined-- , --undefined--, --undefined-- , --undefined-- , --undefined-- , --undefined-- ,0.976,0.026,18.322,805.595,1512.116,2529.703,3769.017
