sound name,total duration,intensity,spectraltilt,median F0,mean F0,sd F0,min F0,max F0,number pulses,number periods,mean periods,sd period,fraction of locally unvoiced frames,fraction,number of voice breaks,degree of voice breaks,degree,jitter local,jitter local abs,jitter rap,jitter ppq5,shimmer local,shimmer local db,shimmer apq3,shimmer apq5,shimmer apq11,mean autocorr,mean NHR,mean HNR,F1,F2,F3,F4
3468_,1.113,28.117,-21.946,569.454,501.037,121.537,360.712,572.945,16,12,2.052,0.556,76.923,of locally unvoiced frames: 76.923%   (100 / 130),1,87.523,of voice breaks: 87.523%   (0.974251 seconds / 1.113134 seconds),13.386,274.707,9.895,15.419,25.912,3.128,10.8,16.443, --undefined-- ,0.761,0.324,5.217,738.099,1827.714,2986.005,3987.806
3472_Á_single,0.595,67.789,-13.947,143.823,162.055,43.13,121.528,267.608,88,87,6.148,1.541,2.941,of locally unvoiced frames: 2.941%   (2 / 68),0,0,of voice breaks: 0   (0 seconds / 0.595099 seconds),1.404,86.348,0.478,0.497,4.911,0.49,1.638,2.057,4.232,0.944,0.066,15.001,752.425,1576.343,2774.833,3957.394
3476_,1.743,26.789,-16.849,462.585,371.012,184.072,94.91,464.264,13,11,2.104,0.131,93.204,of locally unvoiced frames: 93.204%   (192 / 206),1,71.344,of voice breaks: 71.344%   (1.243766 seconds / 1.743329 seconds),5.106,107.429,2.422,1.634,65.866,7.511,27.995,18.58, --undefined-- ,0.7,0.45,3.853,777.681,1859.628,2969.159,3956.995
3480_À_single,0.62,69.321,-14.009,119.524,118.863,7.7,101.794,145.922,71,70,8.381,0.581,1.408,of locally unvoiced frames: 1.408%   (1 / 71),0,0,of voice breaks: 0   (0 seconds / 0.620344 seconds),2.469,206.947,1.246,1.528,6.543,0.862,2.235,3.241,6.24,0.938,0.085,16.214,772.998,1555.336,2693.403,3889.606
3484_,0.944,28.323,-18.157,531.832,534.884,82.533,454.804,621.07,20,17,1.874,0.348,83.636,of locally unvoiced frames: 83.636%   (92 / 110),1,1.66,of voice breaks: 1.660%   (0.015672 seconds / 0.944238 seconds),11.564,216.733,6.765,13.346,57.689,3.949,29.354,30.826,55.683,0.782,0.284,5.672,855.183,1890.295,2976.091,3964.171
3488_À_single,0.552,68.722,-15.074,118.938,120.839,5.868,112.067,137.32,64,63,8.29,0.39,0,of locally unvoiced frames: 0   (0 / 63),0,0,of voice breaks: 0   (0 seconds / 0.552290 seconds),0.994,82.441,0.495,0.556,4.248,0.472,1.35,1.752,2.72,0.957,0.054,18.727,792.071,1541.735,2777.761,3966.805
3492_,1.824,34.077,-20.078,118.911,118.236,1.409,116.617,119.18,5,4,8.763,0.536,97.674,of locally unvoiced frames: 97.674%   (210 / 215),0,0,of voice breaks: 0   (0 seconds / 1.823940 seconds),6.273,549.746,2.936, --undefined-- ,46.646,6.03,1.303, --undefined-- , --undefined-- ,0.817,0.234,6.811,786.948,1805.064,2906.014,3919.896
3496_Ạ_single,0.448,66.42,-11.513,140.957,140.422,4.87,127.583,147.99,21,20,7.19,0.372,58,of locally unvoiced frames: 58.000%   (29 / 50),0,0,of voice breaks: 0   (0 seconds / 0.448060 seconds),3.714,267.003,2.104,1.331,12.549,1.253,6.377,4.663,7.261,0.76,0.423,6.963,794.281,1544.046,2811.964,3912.964
3500_,1.09,39.477,-20.883,205.258,207.216,10.496,193.72,227.647,23,22,4.791,0.341,83.465,of locally unvoiced frames: 83.465%   (106 / 127),0,0,of voice breaks: 0   (0 seconds / 1.089876 seconds),3.717,178.074,1.591,1.855,17.561,1.848,9.168,8.958,10.447,0.912,0.111,12.471,713.357,1789.655,2915.102,3912.923
3504_Ạ_single,0.382,65.852,-12.45,151.694,143.037,22.301,95.527,179.148,33,31,7.148,1.557,33.333,of locally unvoiced frames: 33.333%   (14 / 42),1,4.059,of voice breaks: 4.059%   (0.015523 seconds / 0.382482 seconds),4.426,316.344,1.905,1.029,10.671,1.072,4.043,4.119,8.671,0.788,0.369,8.184,757.887,1608.09,2822.564,3874.781
