sound name,total duration,intensity,spectraltilt,median F0,mean F0,sd F0,min F0,max F0,number pulses,number periods,mean periods,sd period,fraction of locally unvoiced frames,fraction,number of voice breaks,degree of voice breaks,degree,jitter local,jitter local abs,jitter rap,jitter ppq5,shimmer local,shimmer local db,shimmer apq3,shimmer apq5,shimmer apq11,mean autocorr,mean NHR,mean HNR,F1,F2,F3,F4
25626_ĐÁ_single,0.511,59.621,-7.348,190.06,203.653,27.712,180.01,267.641,98,97,4.895,0.646,0,of locally unvoiced frames: 0   (0 / 44),0,0,of voice breaks: 0   (0 seconds / 0.511280 seconds),0.614,30.029,0.22,0.212,2.907,0.385,1.192,1.487,1.923,0.976,0.025,17.574,943.274,1890.206,2820.47,3842.69
25630_,0.472,42.585,-20.662,229.993,240.761,44.768,198.297,309.372,21,20,4.396,1.085,78.049,of locally unvoiced frames: 78.049%   (32 / 41),0,0,of voice breaks: 0   (0 seconds / 0.471950 seconds),13.472,592.216,7.906,9.845,39.363,5.072,20.295,31.437,37.757,0.679,0.566,4.204,882.045,1920.588,3115.407,4281.977
25634_ĐÁ_single,0.465,59.573,-8.219,181.122,192.277,22.105,177.502,253.694,85,84,5.184,0.565,0,of locally unvoiced frames: 0   (0 / 40),0,0,of voice breaks: 0   (0 seconds / 0.465396 seconds),0.58,30.05,0.129,0.168,2.516,0.278,0.955,1.236,1.464,0.973,0.029,18.777,976.438,1872.405,2822.621,3888.654
25638_,0.889,44.747,-17.725,208.43,214.264,14.138,203.926,243.687,17,16,4.622,0.376,90,of locally unvoiced frames: 90.000%   (72 / 80),0,0,of voice breaks: 0   (0 seconds / 0.889430 seconds),4.787,221.288,2.449,2.828,21.314,1.714,10.073,19.551,41.178,0.847,0.196,8.639,1110.549,1986.665,3210.394,4177.2
25642_ĐÃ_single,0.424,57.973,-7.795,236.935,230.136,36.666,129.421,272.236,83,81,4.51,1.322,5.556,of locally unvoiced frames: 5.556%   (2 / 36),1,6.304,of voice breaks: 6.304%   (0.026753 seconds / 0.424377 seconds),2.712,122.322,0.909,0.331,3.166,0.334,1.182,1.645,2.311,0.895,0.154,12.786,958.56,1856.38,2782.702,3896.451
25646_,0.586,34.558,-19.707,265.147,252.825,26.179,208.458,283.579,23,20,4.046,0.747,72.549,of locally unvoiced frames: 72.549%   (37 / 51),1,78.584,of voice breaks: 78.584%   (0.460136 seconds / 0.585532 seconds),10.986,444.501,5.308,5.024,53.931,5.496,32.253,40.7, --undefined-- ,0.732,0.414,4.976,1045.536,1966.261,3204.62,4187.953
25650_ĐÃ_single,0.424,57.875,-9.573,224.163,224.201,42.233,75.664,277.872,77,74,4.378,0.626,8.333,of locally unvoiced frames: 8.333%   (3 / 36),1,16.031,of voice breaks: 16.031%   (0.068034 seconds / 0.424377 seconds),0.963,42.165,0.272,0.247,3.487,0.341,1.191,1.722,3.173,0.914,0.112,12.797,874.128,1736.593,2761.188,3821.944
25654_,0.837,43.209,-17.308,221.332,209.395,60.318,92.004,260.466,15,13,4.759,1.898,90.667,of locally unvoiced frames: 90.667%   (68 / 75),1,2.363,of voice breaks: 2.363%   (0.019771 seconds / 0.836792 seconds),4.248,202.191,2.301,3.118,25.007,2.628,13.185,16.994,9.939,0.762,0.377,5.734,1017.276,1948.858,3139.014,4133.625
25658_ĐẢ_single,0.412,58.608,-7.498,164.444,164.895,16.248,136.154,191.041,64,63,6.045,0.617,0,of locally unvoiced frames: 0   (0 / 35),0,0,of voice breaks: 0   (0 seconds / 0.411776 seconds),1.675,101.278,0.748,0.811,3.25,0.404,1.107,1.483,2.487,0.928,0.084,12.498,1030.542,1929.979,2902.286,3870.593
25662_,0.667,38.695,-21.629,266.24,363.707,169.113,175.643,569.131,34,29,3.139,1.411,83.051,of locally unvoiced frames: 83.051%   (49 / 59),2,80.012,of voice breaks: 80.012%   (0.533425 seconds / 0.666685 seconds),13.224,415.068,6.432,5.06,30.013,2.999,16.223,11.839, --undefined-- ,0.695,0.536,4.159,1095.38,2002.383,3300.045,4324.13
25666_ĐẢ_single,0.436,58.712,-10.002,165.856,165.414,11.639,149.786,181.408,67,66,6.043,0.426,0,of locally unvoiced frames: 0   (0 / 37),0,0,of voice breaks: 0   (0 seconds / 0.436286 seconds),0.913,55.161,0.474,0.35,2.984,0.318,1.246,1.237,1.774,0.967,0.036,16.378,982.697,1867.588,2857.574,3838.293
