sound name,total duration,intensity,spectraltilt,median F0,mean F0,sd F0,min F0,max F0,number pulses,number periods,mean periods,sd period,fraction of locally unvoiced frames,fraction,number of voice breaks,degree of voice breaks,degree,jitter local,jitter local abs,jitter rap,jitter ppq5,shimmer local,shimmer local db,shimmer apq3,shimmer apq5,shimmer apq11,mean autocorr,mean NHR,mean HNR,F1,F2,F3,F4
TÚ_single ,0.421,62.336,-28.567,222.509,245.938,44.492,206.78,344.95,1,0, --undefined-- , --undefined-- ,0,of locally unvoiced frames: 0   (0 / 93),0,0,of voice breaks: 0   (0 seconds / 0 seconds), --undefined-- , --undefined-- , --undefined-- , --undefined-- , --undefined--, --undefined-- , --undefined-- , --undefined-- , --undefined-- ,0.988,0.012,22.726,410.197,746.149,3163.609,3748.473
TÚ_single ,0.419,60.91,-28.567,220.855,239.488,37.201,205.477,317.307,96,95,4.145,0.631,0,of locally unvoiced frames: 0   (0 / 93),0,0,of voice breaks: 0   (0 seconds / 0.418673 seconds),0.753,31.202,0.325,0.349,3.193,0.311,1.491,1.584,2.249,0.988,0.014,23.104,410.197,746.149,3163.609,3748.473
TŨ_single ,0.35,62.411,-29.028,288.009,288.571,22.91,253.118,323.795,1,0, --undefined-- , --undefined-- ,0,of locally unvoiced frames: 0   (0 / 76),0,0,of voice breaks: 0   (0 seconds / 0 seconds), --undefined-- , --undefined-- , --undefined-- , --undefined-- , --undefined--, --undefined-- , --undefined-- , --undefined-- , --undefined-- ,0.982,0.019,19.129,477.84,841.333,3175.199,3718.853
TŨ_single ,0.36,62.375,-29.028,290.496,288.22,20.404,257.03,324.395,97,96,3.473,0.245,0,of locally unvoiced frames: 0   (0 / 79),0,0,of voice breaks: 0   (0 seconds / 0.360096 seconds),0.978,33.947,0.409,0.516,3.935,0.42,1.709,2.135,2.554,0.982,0.019,19.904,477.84,841.333,3175.199,3718.853
TÙ_single ,0.568,60.625,-30.557,191.292,187.239,34.15,89.662,231.394,1,0, --undefined-- , --undefined-- ,0,of locally unvoiced frames: 0   (0 / 129),0,0,of voice breaks: 0   (0 seconds / 0 seconds), --undefined-- , --undefined-- , --undefined-- , --undefined-- , --undefined--, --undefined-- , --undefined-- , --undefined-- , --undefined-- ,0.982,0.022,23.398,413.93,781.739,3019.747,3674.685
TÙ_single ,0.437,60.743,-30.557,193.951,195.575,12.493,180.149,225.09,81,80,5.117,0.316,0,of locally unvoiced frames: 0   (0 / 97),0,0,of voice breaks: 0   (0 seconds / 0.436945 seconds),0.498,25.458,0.215,0.219,2.253,0.215,0.926,0.96,1.225,0.995,0.005,24.834,413.93,781.739,3019.747,3674.685
TỤ_single ,0.357,56.872,-25.376,215.671,237.722,132.227,61.218,545.94,3,0, --undefined-- , --undefined-- ,17.949,of locally unvoiced frames: 17.949%   (14 / 78),1,25.074,of voice breaks: 25.074%   (0.089583 seconds / 0.357272 seconds), --undefined-- , --undefined-- , --undefined-- , --undefined-- , --undefined--, --undefined-- , --undefined-- , --undefined-- , --undefined-- ,0.845,0.262,10.751,461.472,823.929,3129.556,3839.539
TỤ_single ,0.204,58.232,-25.376,220.563,215.962,12.895,171.394,233.898,37,36,4.782,0.697,0,of locally unvoiced frames: 0   (0 / 41),0,0,of voice breaks: 0   (0 seconds / 0.203549 seconds),7.168,342.733,4.514,5.127,9.879,1.795,4.831,4.807,6.87,0.858,0.315,13.938,461.472,823.929,3129.556,3839.539
TỦ_single ,0.5,56.309,-30.704,155.337,163.001,43.38,93.251,241.623,2,0, --undefined-- , --undefined-- ,1.786,of locally unvoiced frames: 1.786%   (2 / 112),0,0,of voice breaks: 0   (0 seconds / 0.499676 seconds), --undefined-- , --undefined-- , --undefined-- , --undefined-- , --undefined--, --undefined-- , --undefined-- , --undefined-- , --undefined-- ,0.947,0.06,15.026,419.169,1071.841,3022.02,4086.271
TỦ_single ,0.329,53.99,-30.704,154.104,155.076,32.694,70.196,203.538,48,47,6.447,1.517,0,of locally unvoiced frames: 0   (0 / 71),0,0,of voice breaks: 0   (0 seconds / 0.329003 seconds),5.183,334.141,3.154,2.583,4.902,0.605,1.597,2.017,3.317,0.962,0.042,16.461,419.169,1071.841,3022.02,4086.271
