sound name,total duration,intensity,spectraltilt,median F0,mean F0,sd F0,min F0,max F0,number pulses,number periods,mean periods,sd period,fraction of locally unvoiced frames,fraction,number of voice breaks,degree of voice breaks,degree,jitter local,jitter local abs,jitter rap,jitter ppq5,shimmer local,shimmer local db,shimmer apq3,shimmer apq5,shimmer apq11,mean autocorr,mean NHR,mean HNR,F1,F2,F3,F4
18938_,89.873,44.007,-19.733,221.206,219.01,34.094,94.848,343.514,693,679,4.572,0.778,96.076,of locally unvoiced frames: 96.076%   (10358 / 10781),11,57.088,of voice breaks: 57.088%   (51.307046 seconds / 89.873210 seconds),1.791,81.89,0.822,0.904,6.509,0.804,2.699,3.394,5.123,0.952,0.065,17.652,862.742,1925.556,3016.845,4033.15
18942_TÚ_single,0.421,62.336,-31.921,222.558,248.317,46.784,206.761,344.599,99,98,4.025,0.714,0,of locally unvoiced frames: 0   (0 / 47),0,0,of voice breaks: 0   (0 seconds / 0.420718 seconds),0.883,35.551,0.349,0.402,2.993,0.301,1.335,1.395,2.285,0.99,0.011,22.58,398.699,723.467,3063.369,3577.851
18946_,0.676,29.461,-18.569,342.303,342.303, --undefined-- ,342.303,342.303,5,4,2.867,0.111,87.179,of locally unvoiced frames: 87.179%   (68 / 78),0,0,of voice breaks: 0   (0 seconds / 0.675940 seconds),5.146,147.549,1.82, --undefined-- ,18.648,1.976,9.747, --undefined-- , --undefined-- ,0.898,0.114,9.445,764.466,1777.683,3014.037,4086.556
18950_TÚ_single,0.419,60.91,-28.567,220.903,241.13,38.746,205.591,318.189,96,95,4.145,0.631,0,of locally unvoiced frames: 0   (0 / 47),0,0,of voice breaks: 0   (0 seconds / 0.418673 seconds),0.753,31.22,0.325,0.349,3.192,0.311,1.491,1.584,2.248,0.99,0.011,23.216,407.545,742.07,3073.225,3673.199
18954_,1.809,24.689,-16.637,576.877,544.08,58.865,461.542,605.973,45,39,1.896,0.389,66.355,of locally unvoiced frames: 66.355%   (142 / 214),3,78.382,of voice breaks: 78.382%   (1.417971 seconds / 1.809062 seconds),16.674,316.147,9.934,9.033,39.74,3.553,21.925,37.212,79.398,0.667,0.522,3.102,711.852,1851.51,2976.807,4092.367
18958_TŨ_single,0.35,62.411,-29.428,288.472,288.78,23.094,253.356,323.655,94,93,3.46,0.277,0,of locally unvoiced frames: 0   (0 / 38),0,0,of voice breaks: 0   (0 seconds / 0.349737 seconds),1.365,47.23,0.709,0.632,5.076,0.536,2.617,2.914,3.722,0.984,0.017,19.093,483.559,803.684,3267.463,3872.724
18962_,0.583,25.773,-17.102,535.573,437.457,146.085,276.655,551.545,16,13,2.568,0.951,79.104,of locally unvoiced frames: 79.104%   (53 / 67),1,66.805,of voice breaks: 66.805%   (0.389728 seconds / 0.583379 seconds),12.756,327.505,5.565,9.571,36.589,3.742,16.163,34.352, --undefined-- ,0.617,0.682,2.347,784.465,1727.812,2930.017,4047.173
18966_TŨ_single,0.36,62.375,-29.028,290.814,287.879,20.06,256.947,324.789,98,97,3.469,0.246,0,of locally unvoiced frames: 0   (0 / 40),0,0,of voice breaks: 0   (0 seconds / 0.360096 seconds),0.973,33.765,0.419,0.528,3.972,0.423,1.737,2.121,2.558,0.986,0.014,20.061,479.612,841.31,3175.694,3769.644
18970_,1.163,24.136,-15.799,560.162,532.439,82.773,275.009,596.476,53,46,2.304,0.879,83.088,of locally unvoiced frames: 83.088%   (113 / 136),3,87.15,of voice breaks: 87.150%   (1.013253 seconds / 1.162655 seconds),23.925,551.296,10.986,10.398,37.737,4.451,17.13,25.604,47.253,0.621,0.634,2.192,841.848,1804.085,2887.284,4072.584
18974_TÙ_single,0.568,60.625,-31.709,191.096,185.568,35.614,98.918,230.225,103,102,5.404,1.329,0,of locally unvoiced frames: 0   (0 / 65),0,0,of voice breaks: 0   (0 seconds / 0.567832 seconds),1.523,82.282,0.804,1.356,2.607,0.346,0.883,0.993,1.674,0.984,0.018,23.771,396.014,762.959,2949.149,3636.032
18978_,0.478,36.007,-16.68,190.92,190.92,2.287,189.303,192.537,5,4,5.247,0.058,81.481,of locally unvoiced frames: 81.481%   (44 / 54),0,0,of voice breaks: 0   (0 seconds / 0.478416 seconds),1.615,84.74,1.209, --undefined-- ,29.418,3.153,0.977, --undefined-- , --undefined-- ,0.876,0.145,8.774,717.301,1584.634,2769.577,4009.279
