sound name,total duration,intensity,spectraltilt,median F0,mean F0,sd F0,min F0,max F0,number pulses,number periods,mean periods,sd period,fraction of locally unvoiced frames,fraction,number of voice breaks,degree of voice breaks,degree,jitter local,jitter local abs,jitter rap,jitter ppq5,shimmer local,shimmer local db,shimmer apq3,shimmer apq5,shimmer apq11,mean autocorr,mean NHR,mean HNR,F1,F2,F3,F4
5110_,32.544,62.546,-15.735,124.603,123.172,14.084,71.63,151.122,335,325,8.116,1.043,91.661,of locally unvoiced frames: 91.661%   (2781 / 3034),8,47.256,of voice breaks: 47.256%   (15.378940 seconds / 32.544204 seconds),1.805,146.509,0.73,0.793,7.599,1.013,2.349,4.004,9.745,0.896,0.16,12.939,990.218,1982.687,3047.374,4071.366
5114_tạt,0.14,74.521,-11.1,116.865,118.882,11.321,105.648,133.632,15,14,8.393,0.815,10,of locally unvoiced frames: 10.000%   (1 / 10),0,0,of voice breaks: 0   (0 seconds / 0.140389 seconds),2.08,174.565,0.39,0.632,4.273,0.383,2.125,2.515,3.645,0.707,0.512,4.502,881.708,1478.111,2397.68,3613.064
5118_,3.001,69.239,-15.669,122.348,125.246,50.983,87.669,481.565,215,211,8.029,1.952,41.516,of locally unvoiced frames: 41.516%   (115 / 277),3,35.163,of voice breaks: 35.163%   (1.055317 seconds / 3.001187 seconds),2.572,206.487,1.055,1.188,10.797,1.448,4.284,6.921,15.101,0.891,0.155,12.218,665.091,1633.318,2720.913,3770.493
5122_tạt,0.156,73.994,-11.616,115.049,113.949,7.573,103.711,124.921,16,15,8.764,0.612,0,of locally unvoiced frames: 0   (0 / 11),0,0,of voice breaks: 0   (0 seconds / 0.155812 seconds),1.693,148.369,0.265,0.571,6.405,0.578,2.447,3.377,6.188,0.763,0.34,5.736,887.255,1492.032,2441.288,3439.436
5126_,3.159,68.838,-15.501,122.461,120.485,14.095,69.988,146.187,198,194,8.311,1.064,46.735,of locally unvoiced frames: 46.735%   (136 / 291),3,42.285,of voice breaks: 42.285%   (1.335742 seconds / 3.158894 seconds),2.127,176.796,0.692,1.018,8.074,1.097,2.674,4.921,12.442,0.892,0.165,12.375,682.622,1622.371,2718.768,3784.081
5130_tát,0.241,74.47,-10.118,164.284,164.831,6.454,156.227,175.471,24,23,6.075,0.225,26.316,of locally unvoiced frames: 26.316%   (5 / 19),0,0,of voice breaks: 0   (0 seconds / 0.241235 seconds),0.64,38.887,0.139,0.164,3.792,0.359,0.886,0.941,2.856,0.878,0.198,11.492,873.922,1596.487,2622.614,3546.044
5134_,2.943,70.214,-15.819,127.632,139.932,71.242,101.036,485.012,224,218,7.227,2.132,45.387,of locally unvoiced frames: 45.387%   (123 / 271),4,39.815,of voice breaks: 39.815%   (1.171712 seconds / 2.942910 seconds),1.71,123.588,0.727,0.83,8.654,1.302,3.13,4.764,9.342,0.902,0.148,13.215,681.082,1605.926,2664.786,3719.284
5138_tát,0.107,75.038,-9.877,154.928,155.082,2.049,152.234,158.33,12,11,6.447,0.102,0,of locally unvoiced frames: 0   (0 / 6),0,0,of voice breaks: 0   (0 seconds / 0.107074 seconds),0.57,36.733,0.108,0.226,2.153,0.187,0.319,0.946, --undefined-- ,0.963,0.039,15.676,905.155,1480.541,2372.187,3368.425
5142_,1.943,65.382,-16.382,114.873,116.853,13.598,99.91,152.2,71,70,8.554,0.999,68.539,of locally unvoiced frames: 68.539%   (122 / 178),0,0,of voice breaks: 0   (0 seconds / 1.942973 seconds),1.334,114.112,0.47,0.668,8.3,1.027,2.01,3.543,8.639,0.941,0.084,15.501,725.722,1661.592,2811.063,3901.315
5146_TÚT_single,0.138,74.736,-22.843,171.343,172.968,3.944,169.013,179.339,19,18,5.774,0.134,0,of locally unvoiced frames: 0   (0 / 9),0,0,of voice breaks: 0   (0 seconds / 0.138283 seconds),0.661,38.178,0.352,0.315,3.39,0.295,1.595,2.051,3.941,0.979,0.022,18.074,386.799,869.371,2665.297,3521.809
