sound name,total duration,intensity,spectraltilt,median F0,mean F0,sd F0,min F0,max F0,number pulses,number periods,mean periods,sd period,fraction of locally unvoiced frames,fraction,number of voice breaks,degree of voice breaks,degree,jitter local,jitter local abs,jitter rap,jitter ppq5,shimmer local,shimmer local db,shimmer apq3,shimmer apq5,shimmer apq11,mean autocorr,mean NHR,mean HNR,F1,F2,F3,F4
ê ,0.262,65.138,-8.269,114.561,114.781,2.988,106.096,119.342,1,0, --undefined-- , --undefined-- ,3.636,of locally unvoiced frames: 3.636%   (2 / 55),0,0,of voice breaks: 0   (0 seconds / 0 seconds), --undefined-- , --undefined-- , --undefined-- , --undefined-- , --undefined--, --undefined-- , --undefined-- , --undefined-- , --undefined-- ,0.944,0.072,16.546,461.646,2173.882,2726.393,3664.199
ê ,0.225,66.047,-8.269,116.099,116.777,2.725,105.901,120.595,25,24,8.588,0.244,0,of locally unvoiced frames: 0   (0 / 47),0,0,of voice breaks: 0   (0 seconds / 0.225306 seconds),0.979,84.057,0.317,0.467,5.552,0.559,0.907,1.24,5.106,0.948,0.078,17.772,461.646,2173.882,2726.393,3664.199
ễ ,0.253,62.308,-9.217,126.004,122.426,16.246,87.508,149.259,1,0, --undefined-- , --undefined-- ,3.774,of locally unvoiced frames: 3.774%   (2 / 53),0,0,of voice breaks: 0   (0 seconds / 0 seconds), --undefined-- , --undefined-- , --undefined-- , --undefined-- , --undefined--, --undefined-- , --undefined-- , --undefined-- , --undefined-- ,0.725,0.478,4.899,501.305,2139.838,2798.731,3700.707
ễ ,0.245,59.194,-9.217,116.235,107.818,19.763,69.097,135.925,23,21,9.184,1.759,5.882,of locally unvoiced frames: 5.882%   (3 / 51),1,9.262,of voice breaks: 9.262%   (0.022691 seconds / 0.244998 seconds),6.534,600.123,1.986,1.995,13.819,1.365,3.744,3.992,22.246,0.729,0.479,5.138,501.305,2139.838,2798.731,3700.707
ể ,0.338,60.268,-12.635,91.471,97.536,14.601,77.727,120.173,1,0, --undefined-- , --undefined-- ,6.757,of locally unvoiced frames: 6.757%   (5 / 74),0,0,of voice breaks: 0   (0 seconds / 0 seconds), --undefined-- , --undefined-- , --undefined-- , --undefined-- , --undefined--, --undefined-- , --undefined-- , --undefined-- , --undefined-- ,0.817,0.252,7.508,429.446,2097.369,2617.053,3524.211
ể ,0.292,59.629,-12.635,97.705,98.404,12.481,79.4,115.108,27,26,10.261,1.341,1.587,of locally unvoiced frames: 1.587%   (1 / 63),0,0,of voice breaks: 0   (0 seconds / 0.292422 seconds),4.16,426.887,1.24,1.347,12.957,1.504,1.873,4.686,20.44,0.884,0.155,10.764,429.446,2097.369,2617.053,3524.211
ệ ,0.256,60.013,-11.605,106.825,99.431,21.549,70.24,124.12,2,0, --undefined-- , --undefined-- ,3.704,of locally unvoiced frames: 3.704%   (2 / 54),0,0,of voice breaks: 0   (0 seconds / 0.255532 seconds), --undefined-- , --undefined-- , --undefined-- , --undefined-- , --undefined--, --undefined-- , --undefined-- , --undefined-- , --undefined-- ,0.794,0.353,7.859,479.314,2183.379,2840.164,3827.603
ệ ,0.262,61.818,-11.605,126.541,232.179,163.162,85.249,490.933,54,53,4.457,3.078,3.636,of locally unvoiced frames: 3.636%   (2 / 55),0,0,of voice breaks: 0   (0 seconds / 0.261541 seconds),6.828,304.356,2.976,4.002,18.168,2.261,6.956,11.612,21.663,0.77,0.368,6.888,479.314,2183.379,2840.164,3827.603
ề ,0.311,63.521,-11.835,108.942,108.819,4.25,99.642,114.624,1,0, --undefined-- , --undefined-- ,0,of locally unvoiced frames: 0   (0 / 67),0,0,of voice breaks: 0   (0 seconds / 0 seconds), --undefined-- , --undefined-- , --undefined-- , --undefined-- , --undefined--, --undefined-- , --undefined-- , --undefined-- , --undefined-- ,0.944,0.077,15.867,457.672,2107.633,2704.337,3623.617
ề ,0.31,62.688,-11.835,106.912,106.193,4.693,88.379,112.226,32,31,9.528,0.734,1.493,of locally unvoiced frames: 1.493%   (1 / 67),0,0,of voice breaks: 0   (0 seconds / 0.310051 seconds),1.881,179.266,0.406,0.804,4.944,0.506,1.595,2.541,5.428,0.929,0.119,15.227,457.672,2107.633,2704.337,3623.617
