sound name,total duration,intensity,spectraltilt,median F0,mean F0,sd F0,min F0,max F0,number pulses,number periods,mean periods,sd period,fraction of locally unvoiced frames,fraction,number of voice breaks,degree of voice breaks,degree,jitter local,jitter local abs,jitter rap,jitter ppq5,shimmer local,shimmer local db,shimmer apq3,shimmer apq5,shimmer apq11,mean autocorr,mean NHR,mean HNR,F1,F2,F3,F4
40822_,35.022,52.436,-16.746,114.792,115.168,8.227,91.074,142.824,317,309,8.705,0.743,92.117,of locally unvoiced frames: 92.117%   (3868 / 4199),7,59.979,of voice breaks: 59.979%   (21.005597 seconds / 35.021589 seconds),1.958,170.408,0.736,0.979,7.948,0.976,2.222,3.759,9.198,0.922,0.115,13.881,952.685,1963.758,2978.409,3991.21
40826_ê,0.262,65.138,-8.164,114.634,114.829,2.96,106.541,119.349,27,26,8.832,0.584,7.143,of locally unvoiced frames: 7.143%   (2 / 28),0,0,of voice breaks: 0   (0 seconds / 0.262441 seconds),1.892,167.106,0.575,0.655,6.014,0.646,1.341,1.998,5.36,0.94,0.077,15.545,456.233,2110.539,2641.319,3538.843
40830_,2.693,60.994,-15.371,112.493,116.788,52.063,90.049,518.332,183,177,8.578,2.036,41.562,of locally unvoiced frames: 41.562%   (133 / 320),5,42.85,of voice breaks: 42.850%   (1.153981 seconds / 2.693070 seconds),1.812,155.464,0.647,0.91,9.15,1.226,2.763,5.113,13.227,0.908,0.143,14.282,686.459,1639.127,2717.381,3730.442
40834_ê,0.225,66.047,-8.269,116.052,116.565,3.092,105.749,120.523,25,24,8.588,0.244,0,of locally unvoiced frames: 0   (0 / 24),0,0,of voice breaks: 0   (0 seconds / 0.225306 seconds),0.979,84.057,0.317,0.467,5.552,0.559,0.907,1.24,5.106,0.954,0.06,15.862,458.359,2137.085,2648.477,3461.745
40838_,3.205,60.434,-11.621,111.566,110.966,9.621,92.704,137.874,176,171,9.048,0.842,51.181,of locally unvoiced frames: 51.181%   (195 / 381),4,50.459,of voice breaks: 50.459%   (1.617252 seconds / 3.205066 seconds),1.863,168.58,0.674,0.886,9.591,1.085,2.875,5.126,13.526,0.905,0.142,13.965,735.132,1722.079,2802.151,3753.106
40842_ễ,0.253,62.308,-7.674,128.181,127.117,14.581,97.753,151.99,27,26,7.909,0.983,11.111,of locally unvoiced frames: 11.111%   (3 / 27),0,0,of voice breaks: 0   (0 seconds / 0.253028 seconds),4.157,328.773,0.885,1.996,8.592,0.802,2.677,4.537,11.553,0.773,0.353,6.003,472.83,2136.61,2640.967,3687.426
40846_,2.637,60.259,-13.762,114.289,112.542,12.148,90.048,149.141,177,173,8.903,1.025,40.575,of locally unvoiced frames: 40.575%   (127 / 313),3,40.402,of voice breaks: 40.402%   (1.065307 seconds / 2.636770 seconds),1.869,166.372,0.553,0.749,8.171,0.921,2.265,4.4,12.174,0.913,0.124,13.513,708.268,1633.549,2696.158,3725.728
40850_ễ,0.245,59.194,-9.217,118.61,116.484,12.372,92.531,135.547,22,20,8.594,1.011,3.846,of locally unvoiced frames: 3.846%   (1 / 26),1,20.801,of voice breaks: 20.801%   (0.050963 seconds / 0.244998 seconds),5.219,448.534,1.083,2.138,15.293,1.445,3.594,8.313,13.067,0.752,0.364,5.372,495.182,2056.962,2641.107,3631.804
40854_,2.894,60.042,-14.087,114.998,113.659,11.978,91.196,146.728,179,175,8.801,0.962,44.477,of locally unvoiced frames: 44.477%   (153 / 344),3,44.597,of voice breaks: 44.597%   (1.290708 seconds / 2.894179 seconds),1.843,162.237,0.59,0.843,8.478,1.04,2.282,4.257,11.672,0.913,0.127,14.134,635.931,1621.533,2633.325,3632.093
40858_ể,0.338,60.268,-11.597,110.586,108.453,9.864,90.371,120.214,18,16,9.279,0.969,40.541,of locally unvoiced frames: 40.541%   (15 / 37),0,0,of voice breaks: 0   (0 seconds / 0.338034 seconds),4.006,371.764,0.564,1.193,12.338,1.262,1.522,3.984,22.362,0.861,0.178,8.864,433.827,2009.937,2666.077,3514.095
40862_,2.685,60.502,-14.896,110.83,109.679,9.682,89.871,136.138,182,178,9.145,0.882,38.871,of locally unvoiced frames: 38.871%   (124 / 319),3,37.855,of voice breaks: 37.855%   (1.016462 seconds / 2.685177 seconds),1.686,154.203,0.491,0.786,8.021,0.913,2.142,4.2,12.115,0.921,0.113,14.475,662.882,1578.367,2614.934,3634.642
40866_ể,0.292,59.629,-12.635,105.42,104.609,9.103,90.356,115.154,23,21,9.833,1.11,31.25,of locally unvoiced frames: 31.250%   (10 / 32),1,20.67,of voice breaks: 20.670%   (0.060443 seconds / 0.292422 seconds),4.435,436.135,1.218,1.2,11.966,1.355,1.445,3.824,17.33,0.882,0.159,10.566,430.592,2102.956,2639.207,3398.569
40870_,2.794,60.798,-17,111.81,111.203,9.592,90.57,147.623,180,175,9.048,0.902,42.47,of locally unvoiced frames: 42.470%   (141 / 332),4,41.798,of voice breaks: 41.798%   (1.167902 seconds / 2.794147 seconds),1.789,161.914,0.545,0.817,8.463,0.996,2.438,4.7,13.267,0.914,0.127,14.315,672.352,1593.95,2618.431,3634.3
40874_ệ,0.256,60.013,-10.401,123.234,237.96,180.974,103.273,508.199,38,34,4.478,3.194,22.222,of locally unvoiced frames: 22.222%   (6 / 27),1,6.084,of voice breaks: 6.084%   (0.015548 seconds / 0.255532 seconds),2.758,123.48,1.107,1.448,19.424,3.107,6.363,6.826,24.31,0.795,0.32,7.549,478.842,2068.928,2580.01,3493.514
40878_,2.689,60.861,-15.69,112.888,110.293,9.252,90.054,142.227,168,164,9.096,0.79,42.633,of locally unvoiced frames: 42.633%   (136 / 319),3,42.825,of voice breaks: 42.825%   (1.151683 seconds / 2.689300 seconds),1.655,150.539,0.553,0.78,8.721,1.005,2.633,4.534,13.017,0.911,0.125,13.213,693.341,1623.66,2684.136,3656.036
40882_ệ,0.262,61.818,-11.605,126.34,231.51,162.749,97.029,474.594,54,53,4.476,3.214,3.571,of locally unvoiced frames: 3.571%   (1 / 28),0,0,of voice breaks: 0   (0 seconds / 0.261541 seconds),5.206,233.016,1.979,2.632,26.125,3.459,11.053,15.583,26.89,0.774,0.365,6.903,475.676,2114.405,2565.495,3618.821
40886_,2.849,60.972,-14.645,113.543,111.031,8.795,95.198,147.478,175,171,9.048,0.772,44.97,of locally unvoiced frames: 44.970%   (152 / 338),3,44.909,of voice breaks: 44.909%   (1.279654 seconds / 2.849439 seconds),1.927,174.367,0.628,0.895,8.817,0.97,2.674,4.482,11.013,0.902,0.142,13.272,655.01,1562.149,2576.162,3644.161
40890_ề,0.311,63.521,-11.272,108.922,108.623,4.44,98.883,114.734,33,32,9.28,0.533,0,of locally unvoiced frames: 0   (0 / 34),0,0,of voice breaks: 0   (0 seconds / 0.310683 seconds),1.492,138.436,0.388,0.599,6.391,0.672,1.996,2.055,5.394,0.945,0.071,15.505,440.792,2070.787,2613.53,3478.053
40894_,2.663,59.978,-15.204,111.075,119.691,68.119,93.85,572.404,178,168,8.84,1.663,42.722,of locally unvoiced frames: 42.722%   (135 / 316),4,42.032,of voice breaks: 42.032%   (1.119125 seconds / 2.662546 seconds),1.861,164.5,0.644,0.957,9.037,1.077,2.987,4.974,13.911,0.893,0.159,12.749,664.361,1612.721,2606.093,3566.694
40898_ề,0.31,62.688,-11.835,106.938,105.895,5.21,88.8,112.276,32,31,9.528,0.734,0,of locally unvoiced frames: 0   (0 / 34),0,0,of voice breaks: 0   (0 seconds / 0.310051 seconds),1.882,179.319,0.406,0.804,4.944,0.506,1.594,2.54,5.428,0.941,0.075,15.688,455.59,2093.563,2621.989,3484.134
40902_,2.759,60.883,-14.04,111.449,115.124,27.395,90.012,289.622,188,183,8.775,1.515,41.159,of locally unvoiced frames: 41.159%   (135 / 328),4,40.786,of voice breaks: 40.786%   (1.125231 seconds / 2.758871 seconds),2.058,180.58,0.701,0.966,8.695,1.187,2.642,4.573,12.283,0.902,0.14,13.553,673.962,1607.045,2592.171,3614.373
40906_ế,0.278,62.126,-11.325,107.441,107.42,3.069,103.159,114.962,29,28,9.28,0.31,0,of locally unvoiced frames: 0   (0 / 30),0,0,of voice breaks: 0   (0 seconds / 0.278224 seconds),1.072,99.446,0.334,0.473,6.207,0.619,2.16,2.873,5.485,0.953,0.053,16.407,443.125,2069.584,2601.445,3329.783
