sound name,total duration,intensity,spectraltilt,median F0,mean F0,sd F0,min F0,max F0,number pulses,number periods,mean periods,sd period,fraction of locally unvoiced frames,fraction,number of voice breaks,degree of voice breaks,degree,jitter local,jitter local abs,jitter rap,jitter ppq5,shimmer local,shimmer local db,shimmer apq3,shimmer apq5,shimmer apq11,mean autocorr,mean NHR,mean HNR,F1,F2,F3,F4
37875_,50.386,42.207,-24.519,98.227,100.792,14.573,89.779,204.48,171,161,9.928,1.183,96.095,of locally unvoiced frames: 96.095%   (5807 / 6043),7,82.529,of voice breaks: 82.529%   (41.583227 seconds / 50.385942 seconds),2.386,236.877,1.171,1.192,8.003,1.111,2.152,3.687,6.05,0.936,0.081,15.146,882.752,1968.996,2970.153,3936.647
37879_TU_single,0.256,63.33,-28.736,125.995,124.862,3.45,113.831,128.38,31,30,8.043,0.283,0,of locally unvoiced frames: 0   (0 / 27),0,0,of voice breaks: 0   (0 seconds / 0.255744 seconds),0.796,64.001,0.24,0.246,2.644,0.281,0.402,0.592,1.895,0.991,0.01,25.178,275.837,699.496,2554.252,3356.323
37883_,2.039,40.832,-16.288,102.411,102.994,3.722,98.345,108.254,5,4,9.802,0.383,97.925,of locally unvoiced frames: 97.925%   (236 / 241),0,0,of voice breaks: 0   (0 seconds / 2.039155 seconds),5.107,500.566,1.799, --undefined-- ,38.925,4.972,7.02, --undefined-- , --undefined-- ,0.851,0.19,8.511,775.543,1967.21,2986.826,3941.404
37887_TU_single,0.271,63.413,-26.572,124.244,123.057,3.943,111.06,128.25,32,31,8.133,0.307,0,of locally unvoiced frames: 0   (0 / 29),0,0,of voice breaks: 0   (0 seconds / 0.270853 seconds),0.772,62.785,0.146,0.228,2.815,0.287,0.374,0.491,1.589,0.995,0.005,26.896,286.783,712.439,2552.099,3332.508
37891_,1.509,37.449,-12.929,103.535,104.365,7.261,97.554,112.005,4,3,9.962,1.311,95.506,of locally unvoiced frames: 95.506%   (170 / 178),0,0,of voice breaks: 0   (0 seconds / 1.508609 seconds),12.934,1288.502,2.811, --undefined-- ,38.055,4.16, --undefined-- , --undefined-- , --undefined-- ,0.844,0.216,9.079,802.361,1986.591,2976.064,3941.54
37895_TỦ_single,0.31,57.686,-27.953,100.94,101.329,7.27,90.992,115.286,19,17,9.963,0.867,35.294,of locally unvoiced frames: 35.294%   (12 / 34),1,40.759,of voice breaks: 40.759%   (0.126279 seconds / 0.309823 seconds),3.55,353.722,0.526,0.692,10.31,0.907,1.091,1.217, --undefined-- ,0.942,0.064,12.807,327.447,702.628,2732.638,3517.866
37899_,1.607,37.761,-13.12,339.103,339.103, --undefined-- ,339.103,339.103,5,4,2.937,0.013,98.942,of locally unvoiced frames: 98.942%   (187 / 189),0,0,of voice breaks: 0   (0 seconds / 1.606696 seconds),0.677,19.889,0.481, --undefined-- ,33.086,3.586,1.585, --undefined-- , --undefined-- ,0.934,0.07,11.523,873.366,1986.402,2992.533,3972.221
37903_TỦ_single,0.309,57.043,-30.343,103.148,120.841,32.833,80.766,186.12,21,18,8.497,1.965,35.294,of locally unvoiced frames: 35.294%   (12 / 34),2,43.515,of voice breaks: 43.515%   (0.134580 seconds / 0.309274 seconds),5.689,483.352,1.962,1.843,15.256,1.917,3.775,4.271, --undefined-- ,0.799,0.322,7.562,323.171,684.985,2690.925,3519.384
37907_,1.922,33.976,-14.706,361.756,361.756, --undefined-- ,361.756,361.756,4,3,2.752,0.009,98.678,of locally unvoiced frames: 98.678%   (224 / 227),0,0,of voice breaks: 0   (0 seconds / 1.921874 seconds),0.362,9.971,0.242, --undefined-- ,39.644,4.386, --undefined-- , --undefined-- , --undefined-- ,0.958,0.044,13.582,746.731,1916.116,2901.868,3870.952
37911_TỤ_single,0.092,63.065,-25.977,134.207,133.797,2.699,129.682,137.107,11,10,7.516,0.215,0,of locally unvoiced frames: 0   (0 / 8),0,0,of voice breaks: 0   (0 seconds / 0.092387 seconds),1.741,130.841,0.477,0.699,7.704,0.799,0.652,1.918, --undefined-- ,0.958,0.048,16.188,316.271,856.192,2568.65,3531.06
37915_,1.697,37.264,-16.812,350.952,350.952, --undefined-- ,350.952,350.952,5,4,2.869,0.043,99,of locally unvoiced frames: 99.000%   (198 / 200),0,0,of voice breaks: 0   (0 seconds / 1.696907 seconds),1.246,35.745,0.652, --undefined-- ,36.508,4.304,2.846, --undefined-- , --undefined-- ,0.786,0.272,5.662,887.715,1996.639,3032.017,3927.562
37919_TỤ_single,0.099,62.362,-25.394,125.756,125.464,3.335,121.221,129.912,11,10,8.053,0.293,0,of locally unvoiced frames: 0   (0 / 8),0,0,of voice breaks: 0   (0 seconds / 0.098732 seconds),2.115,170.341,0.386,1.245,9.881,1.153,1.726,3.616, --undefined-- ,0.947,0.059,13.985,342.268,783.925,2695.981,3452.671
37923_,1.884,37.141,-17.832,344.806,344.806, --undefined-- ,344.806,344.806,4,3,2.905,0.014,98.206,of locally unvoiced frames: 98.206%   (219 / 223),0,0,of voice breaks: 0   (0 seconds / 1.884436 seconds),0.455,13.206,0.181, --undefined-- ,46.567,5.444, --undefined-- , --undefined-- , --undefined-- ,0.769,0.3,5.224,859.999,1916.415,2939.497,3921.853
37927_TÚ_single,0.28,60.475,-31.23,138.158,155.368,58.471,93.999,257.313,41,40,6.464,2.511,0,of locally unvoiced frames: 0   (0 / 30),0,0,of voice breaks: 0   (0 seconds / 0.280163 seconds),2.756,178.159,0.243,0.492,4.286,0.352,1.098,2.138,5.494,0.968,0.035,18.12,263.304,675.404,2647.249,3526.484
37931_,3.66,35.804,-17.489,275.08,275.326,0.891,274.538,276.603,10,9,3.627,0.053,98.165,of locally unvoiced frames: 98.165%   (428 / 436),0,0,of voice breaks: 0   (0 seconds / 3.659944 seconds),1.546,56.058,0.959,0.898,20.309,1.996,3.493,8.875, --undefined-- ,0.924,0.09,12.672,1001.769,2011.94,3026.288,3991.971
37935_TŨ_single,0.232,60.943,-32.278,151.469,151.333,30.693,99.105,193.207,29,27,6.585,1.42,0,of locally unvoiced frames: 0   (0 / 24),1,11.1,of voice breaks: 11.100%   (0.025761 seconds / 0.232079 seconds),4.196,276.325,1.021,1.359,13.231,1.347,2.954,4.923,18.748,0.879,0.171,10.697,321.092,764.522,2555.623,3561.435
