sound name,total duration,intensity,spectraltilt,median F0,mean F0,sd F0,min F0,max F0,number pulses,number periods,mean periods,sd period,fraction of locally unvoiced frames,fraction,number of voice breaks,degree of voice breaks,degree,jitter local,jitter local abs,jitter rap,jitter ppq5,shimmer local,shimmer local db,shimmer apq3,shimmer apq5,shimmer apq11,mean autocorr,mean NHR,mean HNR,F1,F2,F3,F4
25978_A_single,0.341,54.312,-18.585,186.849,186.901,1.285,184.101,189.6,59,58,5.35,0.06,0,of locally unvoiced frames: 0   (0 / 37),0,0,of voice breaks: 0   (0 seconds / 0.340952 seconds),1.145,61.237,0.687,0.599,1.384,0.12,0.692,0.787,1.203,0.986,0.015,19.904,918.362,1965.152,3006.686,4292.473
25982_,0.673,38.832,-19,174.799,177.016,6.165,170.762,187.432,11,10,5.64,0.239,87.013,of locally unvoiced frames: 87.013%   (67 / 77),0,0,of voice breaks: 0   (0 seconds / 0.672632 seconds),1.5,84.616,0.177,0.231,16.848,2.373,2.01,3.807, --undefined-- ,0.888,0.178,12.199,1030.213,2054.596,3019.659,4007.282
25986_A_single,0.375,51.95,-21.645,183.718,183.452,6.483,169.254,213.713,64,63,5.453,0.235,0,of locally unvoiced frames: 0   (0 / 41),0,0,of voice breaks: 0   (0 seconds / 0.374824 seconds),2.568,140.053,1.538,1.213,3.389,0.401,1.352,1.38,1.635,0.959,0.051,17.58,685.949,1690.721,2719.31,4057.812
25990_,5.934,42.102,-21.044,98.618,119.422,45.351,89.926,216.442,25,15,7.743,2.897,94.781,of locally unvoiced frames: 94.781%   (672 / 709),6,71.04,of voice breaks: 71.040%   (4.215871 seconds / 5.934499 seconds),4.146,321.03,1.587,1.195,36.67,4.084,8.161,18.057, --undefined-- ,0.772,0.432,7.154,735.392,1924.677,2920.879,3898.881
25994_ĐỆ_single,0.174,57.506,-19.139,188.289,187.13,3.795,178.693,191.638,25,24,5.326,0.166,11.765,of locally unvoiced frames: 11.765%   (2 / 17),0,0,of voice breaks: 0   (0 seconds / 0.174010 seconds),2.153,114.658,1.049,1.08,9.246,0.961,2.751,5.679,10.889,0.937,0.094,17.436,525.105,2273.401,2971.999,4049.317
25998_,0.835,39.002,-17.881,191.827,196.33,10.839,187.188,219.501,15,14,5.114,0.318,83.505,of locally unvoiced frames: 83.505%   (81 / 97),0,0,of voice breaks: 0   (0 seconds / 0.835140 seconds),3.846,196.644,1.961,2.846,18.364,2.683,7.743,9.3,7.721,0.894,0.141,16.001,999.334,2155.64,3089.925,4135.663
26002_ĐỆ_single,0.114,56.168,-21.588,189.376,187.622,3.961,180.021,191.589,18,17,5.353,0.14,0,of locally unvoiced frames: 0   (0 / 10),0,0,of voice breaks: 0   (0 seconds / 0.113728 seconds),1.267,67.854,0.46,0.489,4.603,0.475,1.155,1.466,2.756,0.967,0.037,20.491,562.555,2298.802,3035.45,4140.735
26006_,1.48,47.506,-21.486,193.362,194.061,6.266,183.531,205.451,33,32,5.182,0.183,87.356,of locally unvoiced frames: 87.356%   (152 / 174),0,0,of voice breaks: 0   (0 seconds / 1.479771 seconds),1.739,90.103,0.839,0.932,11.806,1.179,5.13,7.084,13.543,0.956,0.052,19.258,999.922,2130.788,3065.226,4046.557
26010_ĐỀ_single,0.32,55.299,-19.966,159.011,159.69,5.086,154.523,176.666,49,48,6.249,0.217,0,of locally unvoiced frames: 0   (0 / 35),0,0,of voice breaks: 0   (0 seconds / 0.320088 seconds),0.589,36.835,0.244,0.242,3.218,0.364,0.93,1.251,2.104,0.991,0.01,25.518,449.527,2329.455,2915.815,3926.631
26014_,0.544,39.037,-18.82,179.762,183.922,12.679,171.571,208.099,11,10,5.445,0.412,83.871,of locally unvoiced frames: 83.871%   (52 / 62),0,0,of voice breaks: 0   (0 seconds / 0.544278 seconds),5.736,312.362,3.734,4.039,25.936,4.307,11.266,10.278, --undefined-- ,0.836,0.271,11.986,890.884,1995.74,2907.965,3902.805
26018_ĐỀ_single,0.399,52.855,-22.044,156.442,157.258,6.95,139.766,174.45,60,59,6.381,0.307,0,of locally unvoiced frames: 0   (0 / 44),0,0,of voice breaks: 0   (0 seconds / 0.399032 seconds),1.031,65.779,0.556,0.581,6.535,0.816,2.475,3.474,4.276,0.978,0.028,23.65,411.159,2345.188,2939.168,4013.301
26022_,0.832,35.108,-18.531,202.45,201.451,12.04,187.897,214.375,7,6,5.071,0.294,91.667,of locally unvoiced frames: 91.667%   (88 / 96),0,0,of voice breaks: 0   (0 seconds / 0.831733 seconds),5.965,302.466,2.691,3.599,47.761,7.729,24.768,52.658, --undefined-- ,0.79,0.283,6.767,905.882,2015.652,3039.309,4052.992
26026_ĐÊ_single,0.443,54.918,-22.421,195.515,194.264,5.896,175.15,200.141,83,82,5.153,0.177,0,of locally unvoiced frames: 0   (0 / 50),0,0,of voice breaks: 0   (0 seconds / 0.442623 seconds),0.893,46.027,0.462,0.452,4.177,0.494,1.956,2.688,2.887,0.985,0.017,23.25,408.422,2441.269,3089.034,4209.032
26030_,0.606,37.757,-19.155,186.717,190.57,8.732,183.772,207.708,15,14,5.261,0.255,76.812,of locally unvoiced frames: 76.812%   (53 / 69),0,0,of voice breaks: 0   (0 seconds / 0.606117 seconds),1.946,102.384,0.907,1.134,11.553,1.376,4.269,6.564,12.226,0.957,0.048,18.314,888.613,2108.892,3152.88,4128.358
26034_ĐÊ_single,0.339,53.889,-20.557,188.441,187.639,3.023,174.726,190.288,60,59,5.333,0.105,0,of locally unvoiced frames: 0   (0 / 37),0,0,of voice breaks: 0   (0 seconds / 0.339267 seconds),0.548,29.226,0.236,0.259,2.691,0.264,1.132,1.213,1.329,0.994,0.006,24.672,438.565,2483.63,3055.901,4274.578
26038_,0.94,37.372,-18.386,197.605,275.075,193.352,168.432,620.234,16,12,4.363,1.778,93.578,of locally unvoiced frames: 93.578%   (102 / 109),2,91.926,of voice breaks: 91.926%   (0.864175 seconds / 0.940075 seconds),9.595,418.687,4.96,7.189,74.626,6.56,27.823, --undefined-- , --undefined-- ,0.814,0.232,6.584,791.94,2017.462,3006.404,3964.593
26042_ĐẾ_single,0.393,52.075,-21.512,168.933,186.194,30.692,163.898,262.333,70,69,5.357,0.827,0,of locally unvoiced frames: 0   (0 / 44),0,0,of voice breaks: 0   (0 seconds / 0.392564 seconds),1.419,76.015,0.684,0.593,5.257,0.538,1.961,2.792,4.539,0.983,0.019,20.928,427.799,2522.071,3028.934,4269.598
26046_,0.762,36.001,-18.677,180.568,182.023,8.862,171.572,191.753,12,11,5.512,0.282,92.045,of locally unvoiced frames: 92.045%   (81 / 88),0,0,of voice breaks: 0   (0 seconds / 0.761589 seconds),1.749,96.41,0.909,1.254,17.582,2.397,5.291,12.236, --undefined-- ,0.954,0.05,16.736,915.88,2117.728,3037.471,4049.094
26050_ĐẾ_single,0.314,52.866,-21.207,170.692,178.768,18.588,165.236,234.55,53,52,5.578,0.559,0,of locally unvoiced frames: 0   (0 / 34),0,0,of voice breaks: 0   (0 seconds / 0.313591 seconds),1.494,83.312,0.816,0.707,4.61,0.487,2.386,2.126,2.671,0.982,0.021,22.996,413.398,2551.309,2948.521,4200.495
26054_,0.943,36.018,-17.393,227.642,224.959,32.578,182.246,259.686,17,15,4.514,0.628,85.455,of locally unvoiced frames: 85.455%   (94 / 110),1,90.397,of voice breaks: 90.397%   (0.852085 seconds / 0.942605 seconds),3.409,153.88,2.109,2.502,38.567,4.609,15.434,24.454, --undefined-- ,0.849,0.195,9.763,966.354,2152.007,3108.971,4126.481
26058_ĐỂ_single,0.135,56.912,-20.165,175.102,171.203,11.336,153.112,185.254,20,19,5.846,0.399,0,of locally unvoiced frames: 0   (0 / 13),0,0,of voice breaks: 0   (0 seconds / 0.134938 seconds),2.477,144.795,1.068,0.858,15.071,1.862,3.561,6.825,13.778,0.946,0.061,14.615,372.767,2208.005,2962.776,3921.519
26062_,0.862,36.064,-16.055,205.288,323.113,182.364,144.481,537.524,38,33,3.455,2.001,75,of locally unvoiced frames: 75.000%   (75 / 100),3,83.525,of voice breaks: 83.525%   (0.719938 seconds / 0.861939 seconds),14.424,498.355,7.804,7.998,42.554,4.152,16.762,22.162, --undefined-- ,0.74,0.381,5.775,902.983,2161.015,3061.487,4050.468
26066_ĐỂ_single,0.184,52.008,-21.45,158.738,152.648,12.586,131.619,166.718,26,25,6.567,0.576,0,of locally unvoiced frames: 0   (0 / 19),0,0,of voice breaks: 0   (0 seconds / 0.184217 seconds),2.421,158.98,1.11,1.062,14.56,1.538,3.711,7.655,16.811,0.958,0.046,15.734,395.822,2311.479,2919.559,3770.311
26070_,1.109,32.571,-18.19,198.08,199.849,13.033,187.914,215.322,9,8,5.005,0.344,83.077,of locally unvoiced frames: 83.077%   (108 / 130),0,0,of voice breaks: 0   (0 seconds / 1.108873 seconds),3.069,153.617,1.974,4.466,30.249,3.943,12.199,19.67, --undefined-- ,0.854,0.188,11.024,956.338,2164.978,3044.319,4065.545
26074_ĐỄ_single,0.306,50.33,-20.454,246.263,237.641,21.19,195.23,258.17,68,67,4.213,0.4,0,of locally unvoiced frames: 0   (0 / 33),0,0,of voice breaks: 0   (0 seconds / 0.305885 seconds),1.726,72.701,1.049,0.892,10.194,1.109,5.074,4.327,7.481,0.929,0.103,17.86,475.795,2446.001,3118.694,4279.176
26078_,0.79,34.543,-17.063,208.103,208.972,10.366,198.664,220.813,10,9,4.779,0.253,86.813,of locally unvoiced frames: 86.813%   (79 / 91),0,0,of voice breaks: 0   (0 seconds / 0.789840 seconds),1.642,78.478,0.682,1.831,24.313,3.085,8.03,16.209, --undefined-- ,0.936,0.072,15.561,999.679,2104.305,3112.626,4103.108
26082_ĐỄ_single,0.29,51.489,-20.263,238.065,231.069,18.226,197.58,249.805,61,60,4.336,0.37,0,of locally unvoiced frames: 0   (0 / 31),0,0,of voice breaks: 0   (0 seconds / 0.290425 seconds),2.109,91.444,1.314,1.345,11.633,1.481,6.515,6.568,9.036,0.928,0.119,17.908,469.795,2351.087,3011.472,4036.276
