sound name,total duration,intensity,spectraltilt,median F0,mean F0,sd F0,min F0,max F0,number pulses,number periods,mean periods,sd period,fraction of locally unvoiced frames,fraction,number of voice breaks,degree of voice breaks,degree,jitter local,jitter local abs,jitter rap,jitter ppq5,shimmer local,shimmer local db,shimmer apq3,shimmer apq5,shimmer apq11,mean autocorr,mean NHR,mean HNR,F1,F2,F3,F4
Ề_single ,0.517,66.037,-16.22,192.247,192.677,12.397,171.432,212.419,1,0, --undefined-- , --undefined-- ,0,of locally unvoiced frames: 0   (0 / 116),0,0,of voice breaks: 0   (0 seconds / 0 seconds), --undefined-- , --undefined-- , --undefined-- , --undefined-- , --undefined--, --undefined-- , --undefined-- , --undefined-- , --undefined-- ,0.987,0.014,22.217,518.528,2127.572,2694.012,3749.606
Ề_single ,0.459,65.151,-16.22,180.74,182.489,10.935,168.44,202.604,80,79,5.481,0.326,0,of locally unvoiced frames: 0   (0 / 103),0,0,of voice breaks: 0   (0 seconds / 0.459436 seconds),0.628,34.41,0.233,0.278,3.148,0.329,0.872,1.212,1.87,0.983,0.02,22.169,518.528,2127.572,2694.012,3749.606
Ế_single ,0.482,65.648,-15.742,210.37,249.007,70.139,190.664,385.207,1,0, --undefined-- , --undefined-- ,1.852,of locally unvoiced frames: 1.852%   (2 / 108),0,0,of voice breaks: 0   (0 seconds / 0 seconds), --undefined-- , --undefined-- , --undefined-- , --undefined-- , --undefined--, --undefined-- , --undefined-- , --undefined-- , --undefined-- ,0.975,0.029,19.712,483.079,2121.614,2821.752,3671.323
Ế_single ,0.391,64.863,-15.742,206.094,217.696,29.377,195.553,311.542,81,80,4.533,0.633,0,of locally unvoiced frames: 0   (0 / 86),0,0,of voice breaks: 0   (0 seconds / 0.391190 seconds),0.829,37.592,0.294,0.247,3.458,0.327,1.547,1.432,2.354,0.98,0.021,19.751,483.079,2121.614,2821.752,3671.323
Ể_single ,0.558,63.296,-16.202,159.81,161.864,40.117,73.688,216.052,2,0, --undefined-- , --undefined-- ,0,of locally unvoiced frames: 0   (0 / 126),0,0,of voice breaks: 0   (0 seconds / 0.558158 seconds), --undefined-- , --undefined-- , --undefined-- , --undefined-- , --undefined--, --undefined-- , --undefined-- , --undefined-- , --undefined-- ,0.954,0.058,16.253,478.817,2162.716,2717.181,3973.004
Ể_single ,0.513,61.908,-16.202,162.532,167.812,17.075,145.548,209.507,82,81,5.977,0.581,0,of locally unvoiced frames: 0   (0 / 116),0,0,of voice breaks: 0   (0 seconds / 0.513282 seconds),1.953,116.713,0.859,0.937,5.41,0.628,1.675,1.984,4.671,0.949,0.06,15.005,478.817,2162.716,2717.181,3973.004
thụ ,0.511,63.398,-36.228,256.637,251.854,80.433,74.515,516.426,5,0, --undefined-- , --undefined-- ,31.304,of locally unvoiced frames: 31.304%   (36 / 115),1,61.984,of voice breaks: 61.984%   (0.316667 seconds / 0.510884 seconds), --undefined-- , --undefined-- , --undefined-- , --undefined-- , --undefined--, --undefined-- , --undefined-- , --undefined-- , --undefined-- ,0.907,0.139,15.341,419.218,743.35,3124.168,3801.232
thụ ,0.213,64.122,-36.228,257.699,262.132,69.006,85.947,414.888,46,45,4.287,2.239,0,of locally unvoiced frames: 0   (0 / 44),0,0,of voice breaks: 0   (0 seconds / 0.213247 seconds),5.835,250.144,1.892,1.896,6.999,1.232,3.339,4.09,5.942,0.915,0.115,14.244,419.218,743.35,3124.168,3801.232
thu ,0.396,66.221,-31.65,256.281,260.13,15.662,223.9,298.279,1,0, --undefined-- , --undefined-- ,0,of locally unvoiced frames: 0   (0 / 87),0,0,of voice breaks: 0   (0 seconds / 0 seconds), --undefined-- , --undefined-- , --undefined-- , --undefined-- , --undefined--, --undefined-- , --undefined-- , --undefined-- , --undefined-- ,0.994,0.006,28.201,431.4,671.439,3059.529,3780.445
thu ,0.356,65.474,-31.65,235.402,239.556,9.275,231.407,271.13,80,79,4.188,0.147,0,of locally unvoiced frames: 0   (0 / 78),0,0,of voice breaks: 0   (0 seconds / 0.356434 seconds),0.299,12.527,0.101,0.112,1.13,0.114,0.244,0.386,0.726,0.998,0.002,31.998,431.4,671.439,3059.529,3780.445
