sound name,total duration,intensity,spectraltilt,median F0,mean F0,sd F0,min F0,max F0,number pulses,number periods,mean periods,sd period,fraction of locally unvoiced frames,fraction,number of voice breaks,degree of voice breaks,degree,jitter local,jitter local abs,jitter rap,jitter ppq5,shimmer local,shimmer local db,shimmer apq3,shimmer apq5,shimmer apq11,mean autocorr,mean NHR,mean HNR,F1,F2,F3,F4
11647_,54.502,49.598,-19.775,224.287,222.01,21.844,91.136,275.457,756,742,4.483,0.465,93.024,of locally unvoiced frames: 93.024%   (6081 / 6537),11,84.789,of voice breaks: 84.789%   (46.212132 seconds / 54.502489 seconds),0.985,44.175,0.488,0.524,4.462,0.543,1.676,2.389,4.062,0.973,0.035,21.14,767.789,1907.657,3003.688,4019.137
11651_độ,0.229,60.102,-26.448,218.18,206.701,35.194,92.034,258.787,34,32,4.887,1.191,8.333,of locally unvoiced frames: 8.333%   (2 / 24),1,22.773,of voice breaks: 22.773%   (0.052155 seconds / 0.229018 seconds),2.926,142.986,1.605,2.147,8.542,1.57,3.89,3.46,3.798,0.873,0.193,12.731,495.881,853.512,3303.512,3880.69
11655_,2.759,57.625,-19.153,208.528,202.698,18.475,162.174,249.223,347,342,4.93,0.48,35.366,of locally unvoiced frames: 35.366%   (116 / 328),4,33.448,of voice breaks: 33.448%   (0.922960 seconds / 2.759409 seconds),1.259,62.087,0.557,0.649,6.05,0.719,2.123,3.226,6.584,0.96,0.052,20.791,642.021,1689.131,2870.041,3969.104
11659_độ,0.176,63.003,-27.852,207.319,209.281,18.505,185.116,255.695,32,31,4.901,0.63,5.556,of locally unvoiced frames: 5.556%   (1 / 18),0,0,of voice breaks: 0   (0 seconds / 0.176274 seconds),6.202,303.958,4.035,3.564,8.893,0.955,4.002,2.859,5.278,0.91,0.145,16.212,484.495,894.356,3197.222,3737.516
11663_,4.072,55.785,-19.018,209.063,202.743,25.885,98.64,286.387,389,383,4.922,0.649,51.134,of locally unvoiced frames: 51.134%   (248 / 485),4,46.617,of voice breaks: 46.617%   (1.898479 seconds / 4.072479 seconds),1.503,73.993,0.682,0.735,5.862,0.735,2.063,3.009,6.886,0.951,0.072,19.532,699.371,1784.697,2891.895,3976.728
11667_ễ,0.444,61.756,-14.646,235.861,188.774,72.344,102.959,266.779,77,74,5.171,2.19,4,of locally unvoiced frames: 4.000%   (2 / 50),2,7.426,of voice breaks: 7.426%   (0.032980 seconds / 0.444099 seconds),1.554,80.339,0.477,0.552,4.136,0.622,1.215,1.536,2.945,0.895,0.161,15.621,558.53,2325.318,2993.339,4157.486
11671_,2.61,57.296,-18.592,207.894,197.967,26.341,96.606,254.97,334,328,5.026,0.711,32.581,of locally unvoiced frames: 32.581%   (101 / 310),5,35.878,of voice breaks: 35.878%   (0.936389 seconds / 2.609943 seconds),1.339,67.27,0.553,0.625,6.539,0.767,2.429,3.57,7.974,0.954,0.057,18.867,666.735,1727.851,2875.956,3981.488
11675_ễ,0.33,59.292,-11.698,224.04,224.782,12.365,199.986,241.525,69,68,4.447,0.248,0,of locally unvoiced frames: 0   (0 / 36),0,0,of voice breaks: 0   (0 seconds / 0.330119 seconds),0.626,27.832,0.241,0.253,1.327,0.117,0.543,0.626,1.38,0.98,0.021,20.469,623.327,2293.245,2967.519,4045.199
11679_,3.036,56.65,-17.404,209.26,205.416,19.949,164.075,264.587,342,338,4.876,0.483,42.936,of locally unvoiced frames: 42.936%   (155 / 361),3,43.318,of voice breaks: 43.318%   (1.315152 seconds / 3.036060 seconds),1.12,54.591,0.497,0.498,6.29,0.621,2.375,3.418,7.608,0.961,0.048,19.186,679.1,1750.583,2844.273,3919.868
11683_ê,0.43,60.768,-9.277,221.367,220.179,3.259,206.74,224.333,90,89,4.547,0.089,0,of locally unvoiced frames: 0   (0 / 48),0,0,of voice breaks: 0   (0 seconds / 0.430139 seconds),0.411,18.682,0.148,0.159,1.432,0.133,0.458,0.619,0.692,0.985,0.017,25.995,559.097,2350.072,3034.048,4073.22
