sound name,total duration,intensity,spectraltilt,median F0,mean F0,sd F0,min F0,max F0,number pulses,number periods,mean periods,sd period,fraction of locally unvoiced frames,fraction,number of voice breaks,degree of voice breaks,degree,jitter local,jitter local abs,jitter rap,jitter ppq5,shimmer local,shimmer local db,shimmer apq3,shimmer apq5,shimmer apq11,mean autocorr,mean NHR,mean HNR,F1,F2,F3,F4
20346_,169.641,33.803,-18.245,204.448,206.573,23.722,75.284,309.875,751,736,4.83,0.545,97.587,of locally unvoiced frames: 97.587%   (15448 / 15830),13,81.858,of voice breaks: 81.858%   (138.865379 seconds / 169.640932 seconds),1.406,67.902,0.692,0.822,9.406,1.013,4.572,6.575,7.183,0.954,0.057,15.61,1138.061,2109.149,3109.966,3985.587
20350_Á_single,0.471,48.744,-8.984,179.706,187.433,17.582,173.474,240.654,83,82,5.317,0.489,0,of locally unvoiced frames: 0   (0 / 40),0,0,of voice breaks: 0   (0 seconds / 0.471094 seconds),0.677,35.969,0.265,0.263,3.768,0.368,1.893,2.706,2.486,0.968,0.034,15.408,1155.388,1845.51,3116.4,4025.393
20354_,0.471,33.219,-15.245,281.237,279.63,49.737,189.131,359.614,40,38,3.713,0.746,65,of locally unvoiced frames: 65.000%   (26 / 40),1,61.398,of voice breaks: 61.398%   (0.289240 seconds / 0.471094 seconds),8.239,305.895,4.483,3.519,48.849,4.861,28.932,30.4,24.069,0.647,0.581,2.745,1087.098,2024.234,3051.225,4091.427
20358_Á_single,0.484,47.988,-9.648,177.418,182.251,12.812,173.723,225.187,84,83,5.472,0.384,0,of locally unvoiced frames: 0   (0 / 42),0,0,of voice breaks: 0   (0 seconds / 0.484001 seconds),0.539,29.479,0.194,0.194,3.793,0.357,1.967,2.452,2.567,0.976,0.025,17,1118.921,1773.479,2858.63,3866.033
20362_,1.081,28.626,-13.836,278.689,278.865,31.957,247.465,310.616,14,11,3.7,0.382,95.876,of locally unvoiced frames: 95.876%   (93 / 97),1,92.23,of voice breaks: 92.230%   (0.996921 seconds / 1.080909 seconds),7.258,268.57,3.367,5.056,34.014,4.23,15.917,29.674, --undefined-- ,0.707,0.463,4.355,1131.233,2086.097,3111.172,4002.658
20366_À_single,0.541,48.966,-5.88,179.977,180.577,9.595,168.387,195.746,93,92,5.54,0.294,0,of locally unvoiced frames: 0   (0 / 47),0,0,of voice breaks: 0   (0 seconds / 0.541011 seconds),0.609,33.748,0.328,0.276,4.978,0.461,2.744,3.147,3.134,0.97,0.034,16.158,1015.453,1806.964,3023.202,3962.041
20370_,0.48,33.289,-11.811,199.14,310.299,190.303,194.105,597.852,21,18,3.443,1.678,75.61,of locally unvoiced frames: 75.610%   (31 / 41),1,11.368,of voice breaks: 11.368%   (0.054522 seconds / 0.479599 seconds),7.366,253.635,3.499,3.008,36.026,3.272,17.602,22.736, --undefined-- ,0.764,0.362,5.71,1188.106,1972.948,3165.225,4001.116
20374_À_single,0.483,47.021,-7.601,170.625,171.843,5.759,165.162,183.531,79,78,5.818,0.193,0,of locally unvoiced frames: 0   (0 / 42),0,0,of voice breaks: 0   (0 seconds / 0.482523 seconds),0.426,24.811,0.215,0.237,5.147,0.515,2.988,3.284,3.173,0.974,0.027,16.421,1110.994,1842.844,2814.125,3977.322
20378_,1.125,32.486,-12.997,183.696,183.696,2.943,181.615,185.777,5,4,5.504,0.301,95.098,of locally unvoiced frames: 95.098%   (97 / 102),0,0,of voice breaks: 0   (0 seconds / 1.125311 seconds),5.64,310.442,2.639, --undefined-- ,35.892,3.968,23.928, --undefined-- , --undefined-- ,0.813,0.236,6.556,1108.167,2097.533,3116.146,3988.717
20382_Ả_single,0.491,47.494,-9.999,153.525,150.032,34.07,75.193,188.402,70,69,6.656,1.881,0,of locally unvoiced frames: 0   (0 / 42),0,0,of voice breaks: 0   (0 seconds / 0.490905 seconds),2.16,143.768,1.088,1.845,5.283,0.654,3.05,3.206,3.285,0.917,0.105,12.203,1040.272,1821.302,2649.27,4227.099
20386_,0.484,30.474,-9.595,332.777,303.331,76.741,100.47,339.031,23,16,4.814,2.888,76.19,of locally unvoiced frames: 76.190%   (32 / 42),1,7.15,of voice breaks: 7.150%   (0.034612 seconds / 0.484087 seconds),22.36,1076.405,7.642, --undefined-- ,61.593,5.479,41.57,48.61, --undefined-- ,0.622,0.618,2.188,1116.727,1963.872,3112.499,4078.925
20390_Ả_single,0.457,48.087,-6.267,157.391,158.115,10.392,133.708,173.935,63,62,6.361,0.48,0,of locally unvoiced frames: 0   (0 / 39),0,0,of voice breaks: 0   (0 seconds / 0.456814 seconds),1.824,116.036,0.99,0.551,5.805,0.593,3.184,2.772,3.408,0.904,0.119,11.214,1025.786,1743.062,2716.329,3860.553
