sound name,total duration,intensity,spectraltilt,median F0,mean F0,sd F0,min F0,max F0,number pulses,number periods,mean periods,sd period,fraction of locally unvoiced frames,fraction,number of voice breaks,degree of voice breaks,degree,jitter local,jitter local abs,jitter rap,jitter ppq5,shimmer local,shimmer local db,shimmer apq3,shimmer apq5,shimmer apq11,mean autocorr,mean NHR,mean HNR,F1,F2,F3,F4
15270_,50.064,26.09,-16.094,220.659,275.168,161.564,70.189,624.826,80,71,3.573,1.47,99.058,of locally unvoiced frames: 99.058%   (4625 / 4669),3,61.739,of voice breaks: 61.739%   (30.909000 seconds / 50.064218 seconds),5.898,210.761,2.491,2.578,19.406,2.307,10.018,17.001,15.963,0.865,0.187,10.277,1194.778,2142.181,3133.26,3992.393
15274_Á_single,0.341,44.842,-17.992,206.109,207.862,9.582,196.422,233.735,64,63,4.804,0.223,0,of locally unvoiced frames: 0   (0 / 28),0,0,of voice breaks: 0   (0 seconds / 0.340527 seconds),1.055,50.689,0.502,0.623,8.498,0.773,4.409,6.733,6.058,0.971,0.03,15.689,767.62,1695.977,2824.82,4030.773
15278_,0.851,26.29,-11.289, --undefined-- , --undefined-- , --undefined-- , --undefined-- , --undefined-- ,1,0, --undefined-- , --undefined-- ,98.684,of locally unvoiced frames: 98.684%   (75 / 76),0,0,of voice breaks: 0   (0 seconds / 0 seconds), --undefined-- , --undefined-- , --undefined-- , --undefined-- , --undefined--, --undefined-- , --undefined-- , --undefined-- , --undefined-- , --undefined-- , --undefined-- , --undefined-- ,1195.504,2093.297,3107.119,3991.286
15282_Á_single,0.334,42.806,-17.753,200.076,204.457,14.637,189.16,238.687,63,62,4.883,0.342,0,of locally unvoiced frames: 0   (0 / 28),0,0,of voice breaks: 0   (0 seconds / 0.333806 seconds),1.021,49.855,0.495,0.525,10.35,0.937,5.412,7.934,6.792,0.963,0.038,14.347,926.699,1822.346,3024.862,4318.709
15286_,1.529,25.379,-13.871, --undefined-- , --undefined-- , --undefined-- , --undefined-- , --undefined-- ,1,0, --undefined-- , --undefined-- ,98.561,of locally unvoiced frames: 98.561%   (137 / 139),0,0,of voice breaks: 0   (0 seconds / 0 seconds), --undefined-- , --undefined-- , --undefined-- , --undefined-- , --undefined--, --undefined-- , --undefined-- , --undefined-- , --undefined-- , --undefined-- , --undefined-- , --undefined-- ,1183.847,2136.637,3118.967,3985.206
15290_À_single,0.4,45.889,-16.899,185.73,186.731,10.193,173.553,213.977,70,69,5.355,0.292,0,of locally unvoiced frames: 0   (0 / 34),0,0,of voice breaks: 0   (0 seconds / 0.399750 seconds),1.057,56.617,0.564,0.59,8.311,0.787,4.547,5.617,5.213,0.967,0.034,15.102,919.818,1841.928,2954.474,4168.236
15294_,0.757,25.838,-16.558,588.03,584.32,14.43,568.207,596.533,18,17,1.933,0.653,95.522,of locally unvoiced frames: 95.522%   (64 / 67),0,0,of voice breaks: 0   (0 seconds / 0.756670 seconds),21.797,421.238,13.467,17.661,44.415,5.201,25.831,37.41,41.933,0.74,0.352,4.55,1185.8,2104.879,3144.232,3979.459
15298_À_single,0.355,44.662,-17.446,180.844,182.24,6.536,172.495,193.684,61,60,5.485,0.201,0,of locally unvoiced frames: 0   (0 / 30),0,0,of voice breaks: 0   (0 seconds / 0.354540 seconds),1.091,59.863,0.559,0.588,9.215,0.867,5.419,6.678,6.146,0.968,0.033,15.002,850.322,1857.994,2901.416,3934.01
15302_,2.005,24.746,-11.853,563.683,565.105,3.738,561.812,569.345,16,14,2.088,0.555,98.37,of locally unvoiced frames: 98.370%   (181 / 184),0,0,of voice breaks: 0   (0 seconds / 2.005269 seconds),28.562,596.42,20.098,27.161,50.104,5.144,26.775,42.639,49.495,0.699,0.434,3.663,1228.915,2151.628,3150.399,3989.286
15306_Ả_single,0.425,44.365,-12.595,168.844,170.302,17.03,149.58,199.93,67,66,5.872,0.598,0,of locally unvoiced frames: 0   (0 / 36),0,0,of voice breaks: 0   (0 seconds / 0.424885 seconds),2.241,131.569,1.15,1.077,9.437,0.925,5.395,5.664,5.001,0.92,0.093,11.609,1021.613,1864.22,2984.078,4183.698
15310_,0.632,25.67,-8.806,557.926,561.98,15.237,546.053,582.463,21,18,2.025,0.756,92.857,of locally unvoiced frames: 92.857%   (52 / 56),0,0,of voice breaks: 0   (0 seconds / 0.632387 seconds),28.888,584.953,14.273,29.28,24.403,2.535,15.006,19.22,2.543,0.689,0.464,3.509,1180.524,2066.469,3093.355,3999.076
15314_Ả_single,0.33,41.689,-16.892,90.014,88.767,5.192,79.187,97.634,27,26,11.233,0.678,0,of locally unvoiced frames: 0   (0 / 27),0,0,of voice breaks: 0   (0 seconds / 0.330027 seconds),2.05,230.232,0.712,1.062,14.595,1.492,7.593,10.27,9.681,0.894,0.131,9.946,957.93,1873.02,2991.122,4161.577
15318_,1.48,24.871,-9.73,590.506,590.506,10.886,582.808,598.203,12,11,2.071,0.925,98.519,of locally unvoiced frames: 98.519%   (133 / 135),0,0,of voice breaks: 0   (0 seconds / 1.479726 seconds),36.814,762.565,20.436,21.617,51.025,4.541,25.804,26.977, --undefined-- ,0.675,0.483,3.169,1211.369,2143.442,3139.414,4009.322
