sound name,total duration,intensity,spectraltilt,median F0,mean F0,sd F0,min F0,max F0,number pulses,number periods,mean periods,sd period,fraction of locally unvoiced frames,fraction,number of voice breaks,degree of voice breaks,degree,jitter local,jitter local abs,jitter rap,jitter ppq5,shimmer local,shimmer local db,shimmer apq3,shimmer apq5,shimmer apq11,mean autocorr,mean NHR,mean HNR,F1,F2,F3,F4
10194_,33.951,46.009,-21.133,108.82,118.691,71.023,92.434,623.441,313,301,8.483,2.329,90.995,of locally unvoiced frames: 90.995%   (2880 / 3165),11,75.35,of voice breaks: 75.350%   (25.582218 seconds / 33.951353 seconds),2.581,218.913,1.151,1.248,11.258,1.56,3.139,5.596,14.105,0.916,0.118,14.307,961.217,2017.833,3009.336,3993.687
10198_ề,0.225,56.819,-16.005,96.759,97.084,1.983,91.816,99.901,19,18,10.302,0.227,0,of locally unvoiced frames: 0   (0 / 17),0,0,of voice breaks: 0   (0 seconds / 0.224522 seconds),0.89,91.641,0.365,0.471,4.164,0.351,1.12,1.803,2.869,0.981,0.02,19.103,400.117,2282.858,2858.626,3739.709
10202_,2.496,51.75,-21.314,101.106,111.573,71.164,75.413,587.359,170,164,9.168,2.607,37.118,of locally unvoiced frames: 37.118%   (85 / 229),4,36.304,of voice breaks: 36.304%   (0.906195 seconds / 2.496104 seconds),3.439,315.3,1.624,1.863,10.618,1.391,3.281,6.256,15.583,0.915,0.119,14.458,597.657,1699.263,2725.033,3789.959
10206_ề,0.318,54.942,-17.335,94.598,94.66,3.804,89.827,104.415,27,26,10.673,0.772,0,of locally unvoiced frames: 0   (0 / 26),0,0,of voice breaks: 0   (0 seconds / 0.317550 seconds),2.678,285.842,0.916,0.993,8.786,0.95,2.974,3.813,6.404,0.919,0.123,15.361,419.123,2229.715,2848.545,3678.081
10210_,3.477,51.165,-20,106.378,113.846,62.421,86.886,504.991,150,144,9.013,2.253,60.436,of locally unvoiced frames: 60.436%   (194 / 321),4,58.208,of voice breaks: 58.208%   (2.023870 seconds / 3.476968 seconds),2.422,218.297,0.958,1.123,10.108,1.275,3.084,5.656,16.601,0.925,0.101,14.498,785.332,1850.914,2884.858,3819.314
10214_ể,0.298,56.066,-14.109,92.899,96.324,11.034,80.789,116.371,24,23,10.507,1.119,4.167,of locally unvoiced frames: 4.167%   (1 / 24),0,0,of voice breaks: 0   (0 seconds / 0.297555 seconds),4.797,504.033,2.067,2.403,20.442,2.643,7.245,8.562,16.864,0.884,0.145,10.106,366.865,2122.821,2738.243,3547.665
10218_,2.678,51.031,-22.085,105.734,105.098,8.723,77.939,136.698,161,157,9.542,0.822,40.65,of locally unvoiced frames: 40.650%   (100 / 246),3,37.6,of voice breaks: 37.600%   (1.006756 seconds / 2.677559 seconds),2.551,243.463,1.205,1.274,10.148,1.123,3.595,5.579,13.885,0.923,0.105,15.51,610.389,1689.251,2719.17,3643.137
10222_ể,0.198,57.095,-13.53,91.853,94.862,10.73,84.266,113.68,18,17,10.54,1.195,0,of locally unvoiced frames: 0   (0 / 15),0,0,of voice breaks: 0   (0 seconds / 0.198183 seconds),2.191,230.917,0.605,1.066,18.671,1.538,7.435,7.58,11.306,0.935,0.073,12.924,407.557,2196.152,2786.997,3497.174
10226_,2.858,51.223,-21.587,109.422,107.216,10.704,84.29,133.407,162,158,9.313,0.968,46.768,of locally unvoiced frames: 46.768%   (123 / 263),3,45.189,of voice breaks: 45.189%   (1.291667 seconds / 2.858351 seconds),1.897,176.684,0.839,1.13,10.432,1.35,3.157,5.756,15.879,0.938,0.084,15.655,651.834,1721.749,2717.654,3692.302
10230_ệ,0.168,59.311,-11.687,120.414,121.119,4.046,113.166,126.353,15,14,8.161,0.434,8.333,of locally unvoiced frames: 8.333%   (1 / 12),0,0,of voice breaks: 0   (0 seconds / 0.167722 seconds),3.226,263.285,1.221,1.737,19.42,2.705,3.825,4.966,33.943,0.793,0.309,7.344,460.68,2151.855,2785.525,3589.919
10234_,2.766,51.754,-20.209,104.558,102.502,8.524,75.381,122.403,172,167,9.797,0.953,39.216,of locally unvoiced frames: 39.216%   (100 / 255),4,39.311,of voice breaks: 39.311%   (1.087439 seconds / 2.766278 seconds),2.138,209.441,0.742,1.028,11.426,1.35,3.524,6.044,15.765,0.916,0.116,14.284,633.619,1689.624,2699.552,3669.658
10238_ệ,0.207,56.44,-10.464,110.108,100.196,22.666,70.263,123.394,19,18,10.211,2.587,12.5,of locally unvoiced frames: 12.500%   (2 / 16),0,0,of voice breaks: 0   (0 seconds / 0.207177 seconds),8.602,878.345,2.527,4.598,13.855,1.564,3.934,8.107,28.666,0.744,0.453,6.157,451.49,2254.767,2801.868,3617.127
10242_,2.726,52.096,-18.906,104.625,102.983,10.123,71.375,137.182,150,146,9.719,1.094,46.215,of locally unvoiced frames: 46.215%   (116 / 251),3,45.72,of voice breaks: 45.720%   (1.246534 seconds / 2.726443 seconds),2.682,260.669,1.012,1.308,9.355,1.107,2.767,5.068,14.374,0.916,0.116,14.114,658.29,1735.729,2715.765,3681.926
10246_ê,0.278,58.439,-13.554,106.799,107.273,2.331,102.398,112.429,27,26,9.364,0.257,0,of locally unvoiced frames: 0   (0 / 22),0,0,of voice breaks: 0   (0 seconds / 0.278140 seconds),1.254,117.421,0.4,0.634,5.295,0.541,1.222,1.656,2.899,0.95,0.059,17.404,418.978,2130.007,2720.648,3624.685
10250_,2.588,52.037,-20.592,103.649,103.251,8.217,89.91,132.393,149,145,9.653,0.8,42.017,of locally unvoiced frames: 42.017%   (100 / 238),3,43.22,of voice breaks: 43.220%   (1.118483 seconds / 2.587906 seconds),1.781,171.917,0.735,0.97,10.78,1.317,3.24,5.867,15.73,0.943,0.072,15.761,640.477,1711.811,2735.273,3701.657
10254_ê,0.236,56.073,-15.044,104.328,104.86,1.974,102.288,109.37,24,23,9.495,0.283,0,of locally unvoiced frames: 0   (0 / 19),0,0,of voice breaks: 0   (0 seconds / 0.236417 seconds),1.417,134.558,0.646,0.453,3.25,0.289,1.048,1.529,3.044,0.965,0.04,18.692,404.58,2192.266,2680.238,3541.375
10258_,2.689,50.6,-19.443,106.416,103.291,8.312,81.526,118.455,143,138,9.698,0.83,48.178,of locally unvoiced frames: 48.178%   (119 / 247),4,45.91,of voice breaks: 45.910%   (1.234307 seconds / 2.688535 seconds),2.581,250.281,1.071,1.103,9.857,1.127,2.733,5.135,13.179,0.922,0.104,14.557,715.163,1723.661,2714.667,3677.233
10262_ế,0.296,56.434,-15.643,100.825,103.783,8.457,95.347,126.914,28,27,9.632,0.748,0,of locally unvoiced frames: 0   (0 / 24),0,0,of voice breaks: 0   (0 seconds / 0.295707 seconds),2.031,195.608,0.59,0.659,4.836,0.486,1.814,2.237,2.509,0.932,0.086,14.606,410.656,2169.464,2701.735,3600.502
10266_,2.593,50.383,-22.201,105.888,112.987,56.741,76.709,571.757,172,167,8.851,2.174,39.496,of locally unvoiced frames: 39.496%   (94 / 238),3,37.225,of voice breaks: 37.225%   (0.965106 seconds / 2.592605 seconds),2.759,244.169,1.188,1.358,13.083,1.712,4.228,7.19,18.119,0.915,0.13,14.476,604.476,1707.931,2677.264,3672.614
