sound name,total duration,intensity,spectraltilt,median F0,mean F0,sd F0,min F0,max F0,number pulses,number periods,mean periods,sd period,fraction of locally unvoiced frames,fraction,number of voice breaks,degree of voice breaks,degree,jitter local,jitter local abs,jitter rap,jitter ppq5,shimmer local,shimmer local db,shimmer apq3,shimmer apq5,shimmer apq11,mean autocorr,mean NHR,mean HNR,F1,F2,F3,F4
ề ,0.245,56.689,-17.335,96.954,97.47,1.944,92.862,102.642,1,0, --undefined-- , --undefined-- ,0,of locally unvoiced frames: 0   (0 / 51),0,0,of voice breaks: 0   (0 seconds / 0 seconds), --undefined-- , --undefined-- , --undefined-- , --undefined-- , --undefined--, --undefined-- , --undefined-- , --undefined-- , --undefined-- ,0.948,0.065,17.205,384.285,2208.133,2916.398,3779.209
ề ,0.318,54.942,-17.335,94.663,106.35,69.836,76.123,539.005,27,26,10.502,0.468,0,of locally unvoiced frames: 0   (0 / 69),0,0,of voice breaks: 0   (0 seconds / 0.317550 seconds),2,210.055,0.664,0.989,8.636,0.812,2.515,4.079,8.428,0.934,0.087,15.561,384.285,2208.133,2916.398,3779.209
ể ,0.298,56.066,-13.519,93.156,109.045,72.45,80.715,495.929,2,0, --undefined-- , --undefined-- ,3.125,of locally unvoiced frames: 3.125%   (2 / 64),0,0,of voice breaks: 0   (0 seconds / 0.297555 seconds), --undefined-- , --undefined-- , --undefined-- , --undefined-- , --undefined--, --undefined-- , --undefined-- , --undefined-- , --undefined-- ,0.903,0.118,11.013,377.89,2204.496,2710.677,3496.98
ể ,0.194,57.195,-13.519,93.976,96.307,11.345,84.123,115.773,17,16,10.476,1.203,0,of locally unvoiced frames: 0   (0 / 39),0,0,of voice breaks: 0   (0 seconds / 0.193756 seconds),2.259,236.629,0.614,1.145,18.952,1.624,7.616,7.695,10.302,0.935,0.074,13.01,377.89,2204.496,2710.677,3496.98
ệ ,0.168,59.311,-10.276,120.002,117.434,10.188,92.027,126.453,1,0, --undefined-- , --undefined-- ,9.091,of locally unvoiced frames: 9.091%   (3 / 33),0,0,of voice breaks: 0   (0 seconds / 0 seconds), --undefined-- , --undefined-- , --undefined-- , --undefined-- , --undefined--, --undefined-- , --undefined-- , --undefined-- , --undefined-- ,0.85,0.21,9.703,463.437,2206.27,2824.378,3585.328
ệ ,0.153,57.669,-10.276,118.583,111.901,14.887,72.147,123.446,15,14,9.613,2.792,0,of locally unvoiced frames: 0   (0 / 29),0,0,of voice breaks: 0   (0 seconds / 0.153098 seconds),12.206,1173.392,6.444,5.255,15.102,2.464,2.94,5.905,23.529,0.834,0.243,9.459,463.437,2206.27,2824.378,3585.328
ê ,0.278,58.439,-15.02,106.646,106.94,2.729,100.381,112.525,1,0, --undefined-- , --undefined-- ,0,of locally unvoiced frames: 0   (0 / 59),0,0,of voice breaks: 0   (0 seconds / 0 seconds), --undefined-- , --undefined-- , --undefined-- , --undefined-- , --undefined--, --undefined-- , --undefined-- , --undefined-- , --undefined-- ,0.955,0.053,18.021,393.97,2098.899,2507.077,3370.064
ê ,0.239,56.034,-15.02,104.401,104.854,2.079,102.135,113.569,24,23,9.495,0.283,0,of locally unvoiced frames: 0   (0 / 50),0,0,of voice breaks: 0   (0 seconds / 0.238601 seconds),1.417,134.507,0.646,0.453,3.256,0.29,1.049,1.53,3.041,0.964,0.041,18.713,393.97,2098.899,2507.077,3370.064
ế ,0.296,56.434,-15.947,101.723,103.994,8.55,95.062,127.459,1,0, --undefined-- , --undefined-- ,0,of locally unvoiced frames: 0   (0 / 63),0,0,of voice breaks: 0   (0 seconds / 0 seconds), --undefined-- , --undefined-- , --undefined-- , --undefined-- , --undefined--, --undefined-- , --undefined-- , --undefined-- , --undefined-- ,0.945,0.07,15.692,376.981,2128.852,2578.485,3649.778
ế ,0.253,55.097,-15.947,96.387,99.209,5.889,93.32,115.898,24,23,10.061,0.588,0,of locally unvoiced frames: 0   (0 / 53),0,0,of voice breaks: 0   (0 seconds / 0.252640 seconds),2.893,291.072,1.552,1.503,8.757,0.759,4.538,3.726,4.6,0.947,0.072,16.726,376.981,2128.852,2578.485,3649.778
