sound name,total duration,intensity,spectraltilt,median F0,mean F0,sd F0,min F0,max F0,number pulses,number periods,mean periods,sd period,fraction of locally unvoiced frames,fraction,number of voice breaks,degree of voice breaks,degree,jitter local,jitter local abs,jitter rap,jitter ppq5,shimmer local,shimmer local db,shimmer apq3,shimmer apq5,shimmer apq11,mean autocorr,mean NHR,mean HNR,F1,F2,F3,F4
29653_,49.641,49.52,-18.961,119.569,121.174,11.687,91.671,156.216,417,407,8.275,0.848,93.062,of locally unvoiced frames: 93.062%   (5540 / 5953),9,90.745,of voice breaks: 90.745%   (45.047156 seconds / 49.641411 seconds),1.856,153.584,0.779,0.929,6.872,0.801,2.529,4.007,9.096,0.93,0.099,15.399,774.305,1837.448,2907.68,3946.202
29656_ã,0.307,59.595,-7.94,159.542,162,20.089,129.967,192.473,47,46,6.183,0.795,0,of locally unvoiced frames: 0   (0 / 33),0,0,of voice breaks: 0   (0 seconds / 0.306996 seconds),1.299,80.343,0.376,0.513,8.167,0.724,3.447,5.652,10.206,0.882,0.143,9.776,847.933,1586.014,2410.718,2929.611
29659_,4.004,57.624,-18.1,133.794,132.345,23.076,90.226,216.066,254,245,7.6,1.347,51.782,of locally unvoiced frames: 51.782%   (247 / 477),8,51.017,of voice breaks: 51.017%   (2.042899 seconds / 4.004374 seconds),2.14,162.657,0.818,0.961,7.242,1.108,2.455,4.031,9.38,0.909,0.141,14.039,638.696,1717.569,2785.792,3722.207
29662_ã,0.268,56.813,-12.902,144.217,149.797,14.098,127.382,174.965,39,38,6.683,0.656,0,of locally unvoiced frames: 0   (0 / 29),0,0,of voice breaks: 0   (0 seconds / 0.268151 seconds),1.54,102.901,0.396,0.814,7.721,0.792,2.401,4.122,11.381,0.884,0.169,10.963,765.845,1569.981,2563.221,3166.02
29665_,4.13,57.625,-16.791,129.254,129.168,19.809,89.91,185.456,284,276,7.765,1.244,47.561,of locally unvoiced frames: 47.561%   (234 / 492),7,47.485,of voice breaks: 47.485%   (1.961188 seconds / 4.130102 seconds),2.122,164.734,0.795,0.948,8.607,1.043,3.013,5.167,12.789,0.921,0.114,14.877,624.718,1673.255,2725.511,3694.579
29668_a,0.427,61.571,-10.012,141.95,142.374,2.594,135.851,146.527,59,58,7.032,0.141,0,of locally unvoiced frames: 0   (0 / 48),0,0,of voice breaks: 0   (0 seconds / 0.426902 seconds),0.596,41.935,0.306,0.34,3.725,0.405,1.27,1.491,2.503,0.979,0.023,20.856,764.525,1535.973,2533.729,3153.964
29671_,3.67,58.005,-17.447,125.875,124.994,18.87,89.841,183.007,255,249,8.023,1.271,44.394,of locally unvoiced frames: 44.394%   (194 / 437),5,45.126,of voice breaks: 45.126%   (1.656305 seconds / 3.670388 seconds),2.289,183.674,0.744,1.145,9.358,1.131,2.942,5.11,13.383,0.917,0.118,14.162,622.933,1688.767,2743.505,3663.621
29674_a,0.434,59.988,-10.317,134.624,134.383,2.141,128.694,137.323,57,56,7.446,0.127,0,of locally unvoiced frames: 0   (0 / 49),0,0,of voice breaks: 0   (0 seconds / 0.434184 seconds),0.366,27.243,0.178,0.221,3.598,0.38,0.969,1.309,2.554,0.986,0.015,20.664,714.57,1572.433,2653.313,3063.804
29677_,4.004,58.5,-17.045,128.552,128.007,20.396,90.434,194.861,240,233,7.894,1.318,54.927,of locally unvoiced frames: 54.927%   (262 / 477),6,53.474,of voice breaks: 53.474%   (2.141049 seconds / 4.003927 seconds),2.243,177.036,0.727,0.955,9.195,1.067,3.171,5.426,13.683,0.907,0.14,13.97,655.19,1713.897,2759.491,3707.672
29680_ạ,0.177,60.953,-9.528,132.568,132.42,1.47,129.88,135.54,22,21,7.585,0.138,0,of locally unvoiced frames: 0   (0 / 18),0,0,of voice breaks: 0   (0 seconds / 0.177215 seconds),1.169,88.701,0.404,0.594,10.004,0.98,2.85,5.309,9.21,0.91,0.121,12.053,825.386,1606.413,2631.041,3252.108
29683_,4.195,56.927,-16.39,125.336,123.832,15.292,89.949,167.235,243,236,8.12,1.123,51.4,of locally unvoiced frames: 51.400%   (257 / 500),6,51.427,of voice breaks: 51.427%   (2.157493 seconds / 4.195220 seconds),2.455,199.37,0.841,1.052,9.655,1.223,3.368,6.041,14.394,0.893,0.155,12.723,636.091,1697.493,2776.88,3699.795
29686_ạ,0.224,59.592,-10.1,125.734,123.198,9.596,93.639,131.817,25,24,8.15,0.743,0,of locally unvoiced frames: 0   (0 / 23),0,0,of voice breaks: 0   (0 seconds / 0.223513 seconds),2.019,164.513,0.447,0.777,13.527,1.25,4.276,7.537,18.625,0.861,0.187,9.561,864.039,1625.848,2603.082,3317.053
29689_,4.257,56.94,-16.746,130.374,130.072,20.629,89.983,186.154,266,260,7.736,1.259,52.071,of locally unvoiced frames: 52.071%   (264 / 507),5,52.235,of voice breaks: 52.235%   (2.223812 seconds / 4.257332 seconds),2.453,189.796,0.837,1.089,8.012,1.062,2.556,4.323,11.086,0.891,0.163,13.1,637.681,1732.867,2769.651,3737.495
29692_á,0.336,58.246,-14.393,116.025,134.345,35.086,104.397,210.465,44,43,7.398,1.825,0,of locally unvoiced frames: 0   (0 / 37),0,0,of voice breaks: 0   (0 seconds / 0.335936 seconds),1.838,135.949,0.381,0.492,4.935,0.451,1.92,2.526,4.441,0.901,0.121,11.582,826.16,1567.683,2639.44,3661.974
29695_,4.228,59.028,-17.944,131.27,129.955,19.636,90.735,221.521,322,316,7.728,1.223,41.667,of locally unvoiced frames: 41.667%   (210 / 504),5,41.751,of voice breaks: 41.751%   (1.765030 seconds / 4.227522 seconds),1.913,147.805,0.722,0.915,7.086,0.956,2.203,3.919,8.802,0.93,0.102,15.865,653.13,1683.667,2769.002,3697.71
29698_á,0.328,59.966,-12.285,119.277,130.203,22.746,110.005,187.729,41,40,7.658,1.262,0,of locally unvoiced frames: 0   (0 / 36),0,0,of voice breaks: 0   (0 seconds / 0.328491 seconds),1.493,114.333,0.258,0.38,3.91,0.384,1.842,2.629,3.257,0.926,0.083,12.612,800.562,1560.224,2494.72,2910.497
29701_,4.102,57.816,-16.436,128.373,128.975,23.817,90.129,212.628,267,262,7.818,1.452,50.716,of locally unvoiced frames: 50.716%   (248 / 489),4,49.46,of voice breaks: 49.460%   (2.028804 seconds / 4.101927 seconds),2.076,162.303,0.779,0.986,9.413,1.16,3.035,5.59,12.639,0.902,0.154,13.594,608.66,1711.033,2717.684,3728.577
29704_ả,0.281,60.882,-9.941,112.786,114.365,12.478,93.328,132.394,26,25,8.816,1.067,13.333,of locally unvoiced frames: 13.333%   (4 / 30),0,0,of voice breaks: 0   (0 seconds / 0.281204 seconds),1.734,152.843,0.262,0.486,11.332,0.989,5.36,5.071,10.923,0.869,0.168,9.237,845.4,1574.985,2485.815,3293.759
29707_,4.333,57.472,-16.628,127.495,126.052,19.544,90.285,185.283,265,259,7.996,1.304,51.163,of locally unvoiced frames: 51.163%   (264 / 516),5,50.835,of voice breaks: 50.835%   (2.202749 seconds / 4.333139 seconds),1.975,157.941,0.609,0.822,8.862,1.006,3.002,4.831,11.714,0.912,0.121,13.569,632.188,1719.141,2760.361,3757.347
29710_ả,0.326,58.363,-11.186,114.366,111.272,12.276,90.573,124.889,27,26,9.036,1.077,13.889,of locally unvoiced frames: 13.889%   (5 / 36),0,0,of voice breaks: 0   (0 seconds / 0.326444 seconds),1.78,160.827,0.376,0.54,10.237,0.917,3.669,6.227,14.855,0.841,0.208,8.186,861.018,1581.302,2480.878,3135.44
29713_,6.221,55.84,-16.25,128.304,127.254,22.154,90.22,201.765,263,257,7.913,1.427,67.429,of locally unvoiced frames: 67.429%   (501 / 743),5,66.066,of voice breaks: 66.066%   (4.110287 seconds / 6.221481 seconds),2.316,183.247,0.79,1.148,9.286,1.147,3.429,5.983,14.373,0.91,0.13,14.287,646.327,1708.426,2790.399,3819.472
29716_à,0.389,60.442,-12.609,108.5,109.473,4.764,102.691,118.374,41,40,9.141,0.404,0,of locally unvoiced frames: 0   (0 / 43),0,0,of voice breaks: 0   (0 seconds / 0.389200 seconds),0.587,53.705,0.263,0.298,4.823,0.445,2.043,2.365,3.47,0.963,0.042,16.523,834.17,1553.573,2525.959,3439.537
29719_,4.284,58.684,-18.806,124.188,123.772,17.78,92.167,178.467,259,254,8.106,1.186,52.055,of locally unvoiced frames: 52.055%   (266 / 511),4,51.549,of voice breaks: 51.549%   (2.208490 seconds / 4.284263 seconds),2.289,185.534,0.98,1.25,8.721,1.145,2.907,4.958,11.49,0.913,0.13,14.119,630.687,1711.72,2738.745,3707.67
29722_à,0.262,60.104,-13.799,108.921,108.13,3.125,101.879,113.703,27,26,9.25,0.286,0,of locally unvoiced frames: 0   (0 / 28),0,0,of voice breaks: 0   (0 seconds / 0.261510 seconds),0.576,53.246,0.184,0.301,5.826,0.54,3.444,3.773,3.656,0.97,0.033,17.222,833.766,1612.2,2590.551,3322.638
29725_,5.398,48.314,-19.513,103.565,107.864,14.937,89.929,166.272,87,83,9.304,1.243,86.025,of locally unvoiced frames: 86.025%   (554 / 644),3,85.214,of voice breaks: 85.214%   (4.599478 seconds / 5.397563 seconds),2.181,202.88,0.83,1.221,13.68,1.361,4.485,8.705,22.869,0.918,0.1,12.808,784.615,1862.366,2906.502,3938.396
29728_ĐỤ_single,0.125,67.273,-22.471,149.611,151.258,6.706,143.226,162.811,15,14,6.603,0.289,0,of locally unvoiced frames: 0   (0 / 11),0,0,of voice breaks: 0   (0 seconds / 0.124936 seconds),0.983,64.898,0.229,0.3,3.678,0.328,0.754,1.434,2.161,0.982,0.019,17.509,356.824,1016.996,2414.673,3305.768
29731_,2.512,36.451,-22.909,124.542,285.216,211.914,102.094,623.191,82,71,3.848,3.138,82.55,of locally unvoiced frames: 82.550%   (246 / 298),4,87.325,of voice breaks: 87.325%   (2.193378 seconds / 2.511749 seconds),9.023,347.167,4.091,4.292,37.437,3.734,15.988,24.419,21.885,0.783,0.325,6.53,834.836,1980.353,2987.273,4024.115
