sound name,total duration,intensity,spectraltilt,median F0,mean F0,sd F0,min F0,max F0,number pulses,number periods,mean periods,sd period,fraction of locally unvoiced frames,fraction,number of voice breaks,degree of voice breaks,degree,jitter local,jitter local abs,jitter rap,jitter ppq5,shimmer local,shimmer local db,shimmer apq3,shimmer apq5,shimmer apq11,mean autocorr,mean NHR,mean HNR,F1,F2,F3,F4
ĐA_single ,0.437,65.014,-15.914,162.409,159.766,6.403,138.479,165.352,67,66,6.253,0.255,0,of locally unvoiced frames: 0   (0 / 97),0,0,of voice breaks: 0   (0 seconds / 0.436606 seconds),0.441,27.562,0.158,0.189,3.976,0.388,1.803,1.94,2.268,0.984,0.017,20.906,800.283,1621.699,2628.117,3293.755
TỦ_single ,0.374,63.906,-30.461,132.013,131.962,18.644,104.195,163.223,1,0, --undefined-- , --undefined-- ,0,of locally unvoiced frames: 0   (0 / 82),0,0,of voice breaks: 0   (0 seconds / 0 seconds), --undefined-- , --undefined-- , --undefined-- , --undefined-- , --undefined--, --undefined-- , --undefined-- , --undefined-- , --undefined-- ,0.972,0.029,16.989,362.907,742.8,2797.908,3430.914
TỦ_single ,0.369,64.848,-30.461,136.693,136.227,19.066,105.974,172.492,48,47,7.317,1.064,0,of locally unvoiced frames: 0   (0 / 81),0,0,of voice breaks: 0   (0 seconds / 0.369378 seconds),2.062,150.844,0.186,0.399,4.455,0.411,0.718,1.376,3.815,0.971,0.031,16.854,362.907,742.8,2797.908,3430.914
TÙ_single ,0.574,60.526,-27.941,117.587,117.503,10.33,100.248,136.58,1,0, --undefined-- , --undefined-- ,0,of locally unvoiced frames: 0   (0 / 130),0,0,of voice breaks: 0   (0 seconds / 0 seconds), --undefined-- , --undefined-- , --undefined-- , --undefined-- , --undefined--, --undefined-- , --undefined-- , --undefined-- , --undefined-- ,0.995,0.005,25.053,348.832,966.081,2814.977,3448.751
TÙ_single ,0.431,62.813,-27.941,126.253,126.508,9.371,109.795,147.406,52,51,7.934,0.595,0,of locally unvoiced frames: 0   (0 / 96),0,0,of voice breaks: 0   (0 seconds / 0.431239 seconds),0.609,48.286,0.133,0.191,1.918,0.167,0.508,0.522,1.032,0.996,0.004,26.526,348.832,966.081,2814.977,3448.751
TU_single ,0.471,68.096,-21.802,169.421,170.265,2.129,167.718,176.535,1,0, --undefined-- , --undefined-- ,0,of locally unvoiced frames: 0   (0 / 106),0,0,of voice breaks: 0   (0 seconds / 0 seconds), --undefined-- , --undefined-- , --undefined-- , --undefined-- , --undefined--, --undefined-- , --undefined-- , --undefined-- , --undefined-- ,0.993,0.008,31.263,392.119,929.683,2691.678,3452.208
TU_single ,0.459,69.017,-21.802,173.218,173.305,0.734,172.23,176.465,77,76,5.773,0.027,0,of locally unvoiced frames: 0   (0 / 103),0,0,of voice breaks: 0   (0 seconds / 0.458811 seconds),0.156,8.99,0.055,0.096,1.555,0.167,0.345,0.484,0.909,0.998,0.002,32.751,392.119,929.683,2691.678,3452.208
TỤ_single ,0.134,64.154,-25.603,151.469,151.592,1.18,149.121,154.47,1,0, --undefined-- , --undefined-- ,0,of locally unvoiced frames: 0   (0 / 25),0,0,of voice breaks: 0   (0 seconds / 0 seconds), --undefined-- , --undefined-- , --undefined-- , --undefined-- , --undefined--, --undefined-- , --undefined-- , --undefined-- , --undefined-- ,0.98,0.022,21.463,363.578,794.506,2597.262,3379.345
TỤ_single ,0.14,65.443,-25.603,157.638,156.728,5.104,146.134,162.341,19,18,6.413,0.254,0,of locally unvoiced frames: 0   (0 / 26),0,0,of voice breaks: 0   (0 seconds / 0.139529 seconds),0.816,52.323,0.124,0.186,3.54,0.351,0.848,1.185,3.104,0.989,0.011,20.717,363.578,794.506,2597.262,3379.345
TŨ_single ,0.302,66.288,-31.632,245.582,249.522,39.116,182.28,311.315,1,0, --undefined-- , --undefined-- ,0,of locally unvoiced frames: 0   (0 / 65),0,0,of voice breaks: 0   (0 seconds / 0 seconds), --undefined-- , --undefined-- , --undefined-- , --undefined-- , --undefined--, --undefined-- , --undefined-- , --undefined-- , --undefined-- ,0.963,0.045,18.28,395.461,802.634,2716.487,3611.863
TŨ_single ,0.32,66.477,-31.632,261.492,262.588,31.553,188.958,310.309,78,77,3.807,0.467,0,of locally unvoiced frames: 0   (0 / 69),0,0,of voice breaks: 0   (0 seconds / 0.319925 seconds),1.572,59.852,0.312,0.449,5.744,0.532,1.779,2.724,4.897,0.963,0.041,17.838,395.461,802.634,2716.487,3611.863
TÚ_single ,0.344,67.192,-31.535,201.032,204.622,58.823,137.757,300.567,1,0, --undefined-- , --undefined-- ,0,of locally unvoiced frames: 0   (0 / 75),0,0,of voice breaks: 0   (0 seconds / 0 seconds), --undefined-- , --undefined-- , --undefined-- , --undefined-- , --undefined--, --undefined-- , --undefined-- , --undefined-- , --undefined-- ,0.969,0.035,18.466,341.129,781.151,2640.287,3493.023
TÚ_single ,0.302,65.261,-31.535,170.996,193.027,58.515,135.298,302.298,56,55,5.092,1.563,0,of locally unvoiced frames: 0   (0 / 65),0,0,of voice breaks: 0   (0 seconds / 0.301750 seconds),1.682,85.68,0.135,0.283,4.19,0.372,1.18,2.288,6.737,0.976,0.025,17.901,341.129,781.151,2640.287,3493.023
TẾT_single ,0.138,68.559,-18.893,221.345,218.981,17.953,188.732,246.95,1,0, --undefined-- , --undefined-- ,0,of locally unvoiced frames: 0   (0 / 26),0,0,of voice breaks: 0   (0 seconds / 0 seconds), --undefined-- , --undefined-- , --undefined-- , --undefined-- , --undefined--, --undefined-- , --undefined-- , --undefined-- , --undefined-- ,0.963,0.039,14.756,577.1,1724.229,2449.489,3499.849
TẾT_single ,0.159,68.176,-18.893,209.039,206.929,24.096,170.787,246.922,29,28,4.729,0.577,0,of locally unvoiced frames: 0   (0 / 31),0,0,of voice breaks: 0   (0 seconds / 0.158978 seconds),1.482,70.089,0.148,0.184,3.83,0.331,0.557,0.995,3.329,0.952,0.051,13.626,577.1,1724.229,2449.489,3499.849
TỆT_single ,0.146,63.277,-11.456,116.205,117.418,5.211,108.374,126.922,1,0, --undefined-- , --undefined-- ,0,of locally unvoiced frames: 0   (0 / 28),0,0,of voice breaks: 0   (0 seconds / 0 seconds), --undefined-- , --undefined-- , --undefined-- , --undefined-- , --undefined--, --undefined-- , --undefined-- , --undefined-- , --undefined-- ,0.938,0.069,12.949,511.323,2015.489,2531.785,3477.512
TỆT_single ,0.146,61.334,-11.456,110.019,109.493,4.78,101.924,116.473,15,14,9.152,0.442,0,of locally unvoiced frames: 0   (0 / 28),0,0,of voice breaks: 0   (0 seconds / 0.146280 seconds),1.126,103.028,0.174,0.254,6.178,0.526,1.619,3.256,3.707,0.936,0.07,12.172,511.323,2015.489,2531.785,3477.512
Ù_single ,0.363,64.668,-30.654,137.224,133.746,8.735,117.611,152.075,1,0, --undefined-- , --undefined-- ,0,of locally unvoiced frames: 0   (0 / 80),0,0,of voice breaks: 0   (0 seconds / 0 seconds), --undefined-- , --undefined-- , --undefined-- , --undefined-- , --undefined--, --undefined-- , --undefined-- , --undefined-- , --undefined-- ,0.995,0.005,26.959,369.294,1587.397,3083.442,3600.702
Ù_single ,0.37,64.114,-30.654,132.172,131.118,6.162,119.805,147.241,46,45,7.633,0.369,0,of locally unvoiced frames: 0   (0 / 81),0,0,of voice breaks: 0   (0 seconds / 0.369657 seconds),0.558,42.617,0.136,0.225,1.742,0.153,0.733,1.091,1.23,0.997,0.003,27.64,369.294,1587.397,3083.442,3600.702
U_single ,0.391,66.48,-32.071,192.124,190.18,5.063,175.689,195.381,1,0, --undefined-- , --undefined-- ,0,of locally unvoiced frames: 0   (0 / 86),0,0,of voice breaks: 0   (0 seconds / 0 seconds), --undefined-- , --undefined-- , --undefined-- , --undefined-- , --undefined--, --undefined-- , --undefined-- , --undefined-- , --undefined-- ,0.998,0.002,31.215,397.759,706.17,2599.155,3330.755
U_single ,0.419,66.381,-32.071,200.34,198.903,6.092,176.262,204.858,80,79,5.026,0.157,0,of locally unvoiced frames: 0   (0 / 93),0,0,of voice breaks: 0   (0 seconds / 0.418541 seconds),0.376,18.918,0.112,0.165,1.56,0.131,0.603,0.963,1.358,0.998,0.003,32.08,397.759,706.17,2599.155,3330.755
Ủ_single ,0.363,66.007,-32.632,136.322,138.601,15.744,117.436,165.042,1,0, --undefined-- , --undefined-- ,0,of locally unvoiced frames: 0   (0 / 80),0,0,of voice breaks: 0   (0 seconds / 0 seconds), --undefined-- , --undefined-- , --undefined-- , --undefined-- , --undefined--, --undefined-- , --undefined-- , --undefined-- , --undefined-- ,0.986,0.015,20.318,347.071,666.665,2736.069,3410.831
Ủ_single ,0.439,62.499,-32.632,130.554,131.859,16.674,108.963,160.649,56,55,7.556,0.975,0,of locally unvoiced frames: 0   (0 / 98),0,0,of voice breaks: 0   (0 seconds / 0.438862 seconds),1.412,106.659,0.185,0.316,3.109,0.273,1.102,1.248,2.562,0.986,0.015,20.516,347.071,666.665,2736.069,3410.831
Ụ_single ,0.167,63.491,-31.692,154.578,151.961,8.051,126.329,161.651,1,0, --undefined-- , --undefined-- ,0,of locally unvoiced frames: 0   (0 / 32),0,0,of voice breaks: 0   (0 seconds / 0 seconds), --undefined-- , --undefined-- , --undefined-- , --undefined-- , --undefined--, --undefined-- , --undefined-- , --undefined-- , --undefined-- ,0.952,0.081,23.142,353.735,649.596,2776.691,3491.592
Ụ_single ,0.132,68.313,-31.692,166.27,166.681,2.718,160.549,170.424,19,18,6.066,0.264,0,of locally unvoiced frames: 0   (0 / 24),0,0,of voice breaks: 0   (0 seconds / 0.132271 seconds),1.143,69.361,0.284,0.394,6.132,0.664,1.45,2.233,5.529,0.993,0.007,26.795,353.735,649.596,2776.691,3491.592
Ũ_single ,0.331,64.884,-34.279,209.865,218.943,30.087,177.248,265.1,1,0, --undefined-- , --undefined-- ,0,of locally unvoiced frames: 0   (0 / 72),0,0,of voice breaks: 0   (0 seconds / 0 seconds), --undefined-- , --undefined-- , --undefined-- , --undefined-- , --undefined--, --undefined-- , --undefined-- , --undefined-- , --undefined-- ,0.989,0.012,22.361,380.083,727.135,2731.608,3528.277
Ũ_single ,0.285,65.275,-34.279,215.001,214.342,34.067,164.862,269.183,57,56,4.619,0.753,0,of locally unvoiced frames: 0   (0 / 61),0,0,of voice breaks: 0   (0 seconds / 0.284733 seconds),1.858,85.822,0.393,0.855,6.926,0.817,1.785,3.332,7.118,0.938,0.097,16.442,380.083,727.135,2731.608,3528.277
Ú_single ,0.367,65.48,-34.898,188.102,198.682,58.683,134.455,298.991,1,0, --undefined-- , --undefined-- ,0,of locally unvoiced frames: 0   (0 / 81),0,0,of voice breaks: 0   (0 seconds / 0 seconds), --undefined-- , --undefined-- , --undefined-- , --undefined-- , --undefined--, --undefined-- , --undefined-- , --undefined-- , --undefined-- ,0.973,0.037,19.885,341.49,1292.206,2839.973,3536.181
Ú_single ,0.305,66.771,-34.898,204.967,207.61,55.091,144.247,298.067,59,58,4.766,1.284,0,of locally unvoiced frames: 0   (0 / 66),0,0,of voice breaks: 0   (0 seconds / 0.304724 seconds),1.583,75.438,0.187,0.33,4.322,0.398,1.059,1.589,4.435,0.98,0.021,19.759,341.49,1292.206,2839.973,3536.181
ĐỀ_single ,0.378,61.846,-16.425,107.486,107.775,3.678,100.35,113.6,1,0, --undefined-- , --undefined-- ,0,of locally unvoiced frames: 0   (0 / 83),0,0,of voice breaks: 0   (0 seconds / 0 seconds), --undefined-- , --undefined-- , --undefined-- , --undefined-- , --undefined--, --undefined-- , --undefined-- , --undefined-- , --undefined-- ,0.989,0.013,23.45,412.797,2158.446,2663.042,3528.833
ĐỀ_single ,0.416,60.959,-16.425,107.129,105.536,7.21,82.411,112.892,42,41,9.547,0.84,0,of locally unvoiced frames: 0   (0 / 92),0,0,of voice breaks: 0   (0 seconds / 0.415990 seconds),1.081,103.233,0.161,0.276,3.023,0.304,0.909,1.538,3.016,0.973,0.032,20.356,412.797,2158.446,2663.042,3528.833
ĐÊ_single ,0.446,65.898,-14.225,157.565,154.707,6.67,128.796,161.328,1,0, --undefined-- , --undefined-- ,0,of locally unvoiced frames: 0   (0 / 100),0,0,of voice breaks: 0   (0 seconds / 0 seconds), --undefined-- , --undefined-- , --undefined-- , --undefined-- , --undefined--, --undefined-- , --undefined-- , --undefined-- , --undefined-- ,0.982,0.026,25.089,446.316,2079.596,3042.964,3596.726
ĐÊ_single ,0.425,66.732,-14.225,154.087,150.639,7.386,128.405,157.024,62,61,6.638,0.335,0,of locally unvoiced frames: 0   (0 / 95),0,0,of voice breaks: 0   (0 seconds / 0.425422 seconds),0.474,31.435,0.126,0.165,2.402,0.216,0.517,0.852,1.833,0.992,0.008,24.944,446.316,2079.596,3042.964,3596.726
ĐỂ_single ,0.319,61.096,-13.891,103.075,101.538,17.844,68.348,125.692,1,0, --undefined-- , --undefined-- ,0,of locally unvoiced frames: 0   (0 / 69),0,0,of voice breaks: 0   (0 seconds / 0 seconds), --undefined-- , --undefined-- , --undefined-- , --undefined-- , --undefined--, --undefined-- , --undefined-- , --undefined-- , --undefined-- ,0.83,0.26,8.761,438.171,2025.821,2675.949,3453.236
ĐỂ_single ,0.364,60.102,-13.891,110.83,107.817,14.236,80.482,126.248,38,37,9.26,1.304,0,of locally unvoiced frames: 0   (0 / 80),0,0,of voice breaks: 0   (0 seconds / 0.363517 seconds),2.751,254.729,0.653,0.938,7.159,0.668,2.445,2.981,6.368,0.904,0.123,11.752,438.171,2025.821,2675.949,3453.236
ĐẾ_single ,0.333,64.137,-14.418,163.302,172.592,46.159,112.078,248.181,1,0, --undefined-- , --undefined-- ,0,of locally unvoiced frames: 0   (0 / 72),0,0,of voice breaks: 0   (0 seconds / 0 seconds), --undefined-- , --undefined-- , --undefined-- , --undefined-- , --undefined--, --undefined-- , --undefined-- , --undefined-- , --undefined-- ,0.951,0.052,13.706,448.928,1996.172,2592.412,3587.713
ĐẾ_single ,0.332,64.888,-14.418,170.109,177.832,41.761,124.746,242.648,56,55,5.551,1.318,0,of locally unvoiced frames: 0   (0 / 72),0,0,of voice breaks: 0   (0 seconds / 0.332339 seconds),1.38,76.613,0.107,0.178,4.321,0.428,0.714,1.317,4.843,0.962,0.04,14.956,448.928,1996.172,2592.412,3587.713
ĐỆ_single ,0.121,62.653,-10.697,145.789,144.513,3.121,136.947,147.296,1,0, --undefined-- , --undefined-- ,0,of locally unvoiced frames: 0   (0 / 21),0,0,of voice breaks: 0   (0 seconds / 0 seconds), --undefined-- , --undefined-- , --undefined-- , --undefined-- , --undefined--, --undefined-- , --undefined-- , --undefined-- , --undefined-- ,0.961,0.044,17.392,440.417,2062.519,2611.963,3490.88
ĐỆ_single ,0.176,63.831,-10.697,144.599,141.076,9.032,115.912,147.933,22,21,7.282,0.92,0,of locally unvoiced frames: 0   (0 / 35),0,0,of voice breaks: 0   (0 seconds / 0.176485 seconds),2.934,213.636,0.584,0.789,6.11,0.728,1.561,1.798,3.687,0.918,0.117,14.344,440.417,2062.519,2611.963,3490.88
ĐỄ_single ,0.313,65.485,-16.898,201.884,205.686,35.622,139.169,257.95,1,0, --undefined-- , --undefined-- ,0,of locally unvoiced frames: 0   (0 / 68),0,0,of voice breaks: 0   (0 seconds / 0 seconds), --undefined-- , --undefined-- , --undefined-- , --undefined-- , --undefined--, --undefined-- , --undefined-- , --undefined-- , --undefined-- ,0.957,0.048,15.794,516.311,1783.062,2355.675,3709.308
ĐỄ_single ,0.36,64.554,-16.898,218.899,216.852,29.996,143.413,258.636,73,72,4.626,0.709,0,of locally unvoiced frames: 0   (0 / 79),0,0,of voice breaks: 0   (0 seconds / 0.359796 seconds),1.545,71.447,0.373,0.344,5.929,0.558,1.708,2.191,4.208,0.949,0.064,16.663,516.311,1783.062,2355.675,3709.308
