sound name,total duration,intensity,spectraltilt,median F0,mean F0,sd F0,min F0,max F0,number pulses,number periods,mean periods,sd period,fraction of locally unvoiced frames,fraction,number of voice breaks,degree of voice breaks,degree,jitter local,jitter local abs,jitter rap,jitter ppq5,shimmer local,shimmer local db,shimmer apq3,shimmer apq5,shimmer apq11,mean autocorr,mean NHR,mean HNR,F1,F2,F3,F4
34840_,32.196,56.088,-26.3,133.268,133.18,10.501,90.071,160.081,147,143,7.483,0.625,96.373,of locally unvoiced frames: 96.373%   (3720 / 3860),3,17.671,of voice breaks: 17.671%   (5.689301 seconds / 32.196107 seconds),1.58,118.252,0.632,0.795,5.981,0.781,1.763,3.107,5.918,0.951,0.069,19.151,752.658,1849.634,2891.635,3957.037
34844_ĐŨ_single,0.261,72.33,-35.205,178.493,198.076,60.468,149.535,372.206,48,47,5.065,1.313,0,of locally unvoiced frames: 0   (0 / 28),0,0,of voice breaks: 0   (0 seconds / 0.260677 seconds),2.897,146.724,0.771,0.882,12.811,1.885,3.528,6.055,12.498,0.939,0.084,16.322,354.036,709.374,2799.685,3484.596
34848_,1.728,56.369,-21.764,160.246,184.309,105.84,107.947,465.012,30,27,5.564,2.247,90.686,of locally unvoiced frames: 90.686%   (185 / 204),2,89.957,of voice breaks: 89.957%   (1.554800 seconds / 1.728381 seconds),6.674,371.372,3.092,3.169,29.004,3.125,15.729,33.031,59.092,0.825,0.25,9.467,682.03,1683.66,2876.492,4031.987
34852_ĐŨ_single,0.223,73.802,-34.567,186.918,183.62,21.664,147.355,212.462,38,37,5.546,0.767,4.348,of locally unvoiced frames: 4.348%   (1 / 23),0,0,of voice breaks: 0   (0 seconds / 0.223204 seconds),2.586,143.454,0.245,0.542,8.085,0.815,1.46,2.986,8.992,0.939,0.1,16.648,384.978,797.435,2698.184,3504.441
34856_,1.874,48.202,-24.652,115.865,123.873,25.844,93.569,170.356,14,12,8.07,2.08,92.308,of locally unvoiced frames: 92.308%   (204 / 221),1,90.032,of voice breaks: 90.032%   (1.686938 seconds / 1.873707 seconds),7.982,644.182,1.722,5.007,35.41,3.325,12.535,37.88, --undefined-- ,0.805,0.281,7.077,697.844,1648.198,2820.225,3992.497
34860_ĐÙ_single,0.477,69.907,-35.401,108.803,108.241,7.067,97.436,121.315,51,50,9.23,0.614,0,of locally unvoiced frames: 0   (0 / 54),0,0,of voice breaks: 0   (0 seconds / 0.477119 seconds),0.663,61.16,0.242,0.283,2.778,0.255,0.946,1.377,1.884,0.988,0.012,20.98,288.345,696.002,2627.267,3306.651
34864_,1.755,48.825,-22.824,137.288,122.926,20.408,95.242,143.581,16,14,8.255,1.384,93.72,of locally unvoiced frames: 93.720%   (194 / 207),1,92.152,of voice breaks: 92.152%   (1.617240 seconds / 1.754971 seconds),4.486,370.325,2.165,1.886,30.757,3.767,7.053,5.903, --undefined-- ,0.836,0.251,9.445,662.546,1758.37,2986.604,3918.724
34868_ĐÙ_single,0.477,69.469,-37.471,111.989,110.045,6.619,98.665,119.665,51,50,9.09,0.555,0,of locally unvoiced frames: 0   (0 / 54),0,0,of voice breaks: 0   (0 seconds / 0.476707 seconds),0.798,72.532,0.285,0.305,3.138,0.308,1.149,1.36,2.291,0.985,0.016,19.958,277.834,714.11,2554.17,3337.743
34872_,1.355,46.779,-16.952,111.573,122.702,23.607,100.667,158.579,12,10,8.177,1.6,89.937,of locally unvoiced frames: 89.937%   (143 / 159),1,92.523,of voice breaks: 92.523%   (1.253602 seconds / 1.354913 seconds),9.51,777.648,5.542,2.494,30.546,2.934,6.137,6.285, --undefined-- ,0.801,0.304,8.133,587.491,1660.09,2821.533,4049.319
34876_ĐỤ_single,0.144,71.564,-24.505,142,140.269,7.641,125.015,148.975,19,18,7.207,0.477,0,of locally unvoiced frames: 0   (0 / 14),0,0,of voice breaks: 0   (0 seconds / 0.144413 seconds),2.488,179.297,0.445,0.88,7.914,0.811,1.729,3.198,11.906,0.944,0.065,14.55,326.329,928.152,2383.589,3278.746
34880_,2.027,45.916,-16.313,137.792,181.18,99.274,100.364,343.422,23,20,5.523,2.682,93.333,of locally unvoiced frames: 93.333%   (224 / 240),2,93.55,of voice breaks: 93.550%   (1.896347 seconds / 2.027091 seconds),5.196,286.975,2.247,3.336,50.255,3.702,18.223,12.877, --undefined-- ,0.807,0.265,7.251,669.355,1716.818,2900.775,4024.253
34884_ĐỤ_single,0.133,76.818,-22.542,158.103,157.496,2.732,150.482,160.806,17,16,6.354,0.118,0,of locally unvoiced frames: 0   (0 / 12),0,0,of voice breaks: 0   (0 seconds / 0.133180 seconds),0.746,47.414,0.219,0.39,5.19,0.502,0.84,1.333,6.393,0.986,0.015,20.472,321.951,890.641,2527.226,3410.671
34888_,2.212,50.757,-19.957,183.349,242.377,118.585,90.46,386.787,35,31,4.261,2.378,91.985,of locally unvoiced frames: 91.985%   (241 / 262),2,92.624,of voice breaks: 92.624%   (2.048804 seconds / 2.211955 seconds),4.804,204.723,2.22,3.021,49.661,4.431,16.605,14.612,37.386,0.739,0.423,6.27,665.181,1638.877,2838.277,4047.081
34892_ĐÚ_single,0.283,72.321,-34.789,178.666,181.867,44.667,127.731,246.653,49,48,5.535,1.386,0,of locally unvoiced frames: 0   (0 / 31),0,0,of voice breaks: 0   (0 seconds / 0.283364 seconds),1.865,103.252,0.225,0.425,5.317,0.57,1.544,2.038,3.718,0.975,0.027,18.953,279.654,711.01,2480.308,3452.457
34896_,1.687,51.976,-24.203,128.752,129.606,7.978,108.94,137.991,21,19,7.778,0.589,89.447,of locally unvoiced frames: 89.447%   (178 / 199),1,83.671,of voice breaks: 83.671%   (1.411518 seconds / 1.686990 seconds),4.671,363.268,1.984,2.816,24.556,2.336,7.814,16.201, --undefined-- ,0.849,0.209,9.179,687.004,1731.632,2931.331,4067.775
34900_ĐÚ_single,0.282,73.415,-36.356,179.101,181.09,43.269,123.299,240.764,48,47,5.561,1.394,0,of locally unvoiced frames: 0   (0 / 30),0,0,of voice breaks: 0   (0 seconds / 0.282451 seconds),2.034,113.085,0.236,0.337,5.97,0.502,0.984,1.701,5.437,0.972,0.03,17.842,353.207,844.827,2538.627,3486.263
34904_,1.772,53.062,-24.188,131.058,179.897,107.592,120.535,447.105,24,21,5.37,2.612,93.301,of locally unvoiced frames: 93.301%   (195 / 209),2,92.205,of voice breaks: 92.205%   (1.633545 seconds / 1.771644 seconds),4.952,265.907,1.655,2.398,34.739,2.716,12.047,8.626, --undefined-- ,0.826,0.237,7.781,675.575,1642.937,2785.158,4065.395
34908_ĐỦ_single,0.301,72.155,-30.207,117.83,120.759,13.658,103.105,142.725,35,34,8.254,0.943,0,of locally unvoiced frames: 0   (0 / 33),0,0,of voice breaks: 0   (0 seconds / 0.300728 seconds),1.618,133.567,0.298,0.479,5.498,0.499,1.372,2.209,6.053,0.981,0.02,18.765,315.884,709.619,2627.98,3326.741
34912_,2.053,53.278,-20.182,181.33,243.191,107.884,133.488,381.144,17,14,4.265,1.766,96.708,of locally unvoiced frames: 96.708%   (235 / 243),1,95.505,of voice breaks: 95.505%   (1.960859 seconds / 2.053138 seconds),7.217,307.788,2.446,6.048,55.49,3.953,15.671,26.799, --undefined-- ,0.731,0.428,5.206,696.81,1674.326,2947.979,4036.549
34916_ĐỦ_single,0.325,73.143,-34.607,122.985,126.423,14.476,109.242,152.229,39,38,7.892,0.892,0,of locally unvoiced frames: 0   (0 / 35),0,0,of voice breaks: 0   (0 seconds / 0.324855 seconds),1.392,109.854,0.148,0.286,3.979,0.353,0.915,1.58,4.647,0.984,0.016,18.672,321.649,744.13,2643.624,3417.219
34920_,1.737,50.004,-34.121,154.975,193.421,114.605,107.729,420.357,31,28,5.482,2.831,91.22,of locally unvoiced frames: 91.220%   (187 / 205),2,89.688,of voice breaks: 89.688%   (1.558055 seconds / 1.737188 seconds),8.31,455.545,4.804,5.838,30.45,3.005,9.366,9.452, --undefined-- ,0.81,0.302,8.643,674.06,1656.216,2859.669,4074.203
34924_ĐU_single,0.487,73.548,-26.912,156.756,156.195,1.633,148.892,157.59,73,72,6.402,0.07,0,of locally unvoiced frames: 0   (0 / 55),0,0,of voice breaks: 0   (0 seconds / 0.486802 seconds),0.297,18.996,0.103,0.133,2.128,0.237,0.511,0.601,1.255,0.996,0.004,29.301,318.904,860.703,2325.983,3449.66
34928_,1.903,51.543,-16.684,146.032,145.351,8.534,127.031,160.281,16,14,6.945,0.483,95.111,of locally unvoiced frames: 95.111%   (214 / 225),1,94.109,of voice breaks: 94.109%   (1.791068 seconds / 1.903191 seconds),5.162,358.498,2.85,2.868,34.308,2.454,11.614,24.945, --undefined-- ,0.853,0.198,10.762,746.588,1713.378,2850.467,4115.111
34932_ĐU_single,0.383,75.789,-35.963,152.4,151.967,2.098,145.127,155.18,55,54,6.582,0.093,0,of locally unvoiced frames: 0   (0 / 42),0,0,of voice breaks: 0   (0 seconds / 0.382535 seconds),0.243,15.987,0.051,0.098,1.955,0.184,0.561,0.646,1.166,0.997,0.003,30.165,308.261,803.229,2456.545,3325.47
34936_,1.667,52.376,-25.716,144.218,142.552,6.535,130.838,148.581,12,11,7.034,0.417,95.431,of locally unvoiced frames: 95.431%   (188 / 197),0,0,of voice breaks: 0   (0 seconds / 1.667090 seconds),3.88,272.933,1.485,1.325,22.268,3.421,4.978,6.612, --undefined-- ,0.939,0.071,13.458,699.921,1746.363,2860.153,4092.528
34940_TÀ_single,0.57,72.085,-22.06,105.065,107.333,5.626,99.819,123.857,60,59,9.324,0.473,0,of locally unvoiced frames: 0   (0 / 65),0,0,of voice breaks: 0   (0 seconds / 0.569817 seconds),0.635,59.172,0.26,0.283,2.64,0.237,1.079,1.196,1.93,0.971,0.033,18.555,738.827,1445.172,2477.34,3439.534
34944_,1.301,52.098,-23.718,111.812,109.516,6.689,97.948,114.519,6,5,9.228,0.612,96.732,of locally unvoiced frames: 96.732%   (148 / 153),0,0,of voice breaks: 0   (0 seconds / 1.300940 seconds),5.994,553.163,2.622,1.893,30.58,3.599,5.82, --undefined-- , --undefined-- ,0.846,0.184,7.491,750.675,1727.421,2928.952,4085.799
34948_TÀ_single,0.507,71.096,-21.783,105.29,105.717,7.148,93.104,126.829,52,51,9.458,0.652,0,of locally unvoiced frames: 0   (0 / 57),0,0,of voice breaks: 0   (0 seconds / 0.506919 seconds),0.674,63.714,0.163,0.211,2.706,0.262,0.988,1.355,1.817,0.976,0.027,18.948,778.555,1546.253,2563.049,3642.552
34952_,1.487,50.74,-22.948,103.751,102.781,3.313,97.229,106.089,6,5,9.807,0.327,96.571,of locally unvoiced frames: 96.571%   (169 / 175),0,0,of voice breaks: 0   (0 seconds / 1.486637 seconds),3.313,324.901,1.506,1.274,26.346,2.872,8.764, --undefined-- , --undefined-- ,0.892,0.123,9.541,717.076,1785.175,2971.048,4074.76
34956_TÃ_single,0.35,72.417,-18.099,189.047,175.382,34.918,96.224,211.572,39,37,5.773,1.325,15.789,of locally unvoiced frames: 15.789%   (6 / 38),1,13.522,of voice breaks: 13.522%   (0.047297 seconds / 0.349781 seconds),3.796,219.132,0.694,1.044,9.132,1.049,2.478,3.353,7.584,0.846,0.204,9.233,872.55,1552.433,2528.765,4067.535
34960_,1.67,51.194,-22.879,138.174,131.45,21.296,94.973,156.429,14,13,7.499,1.266,92.386,of locally unvoiced frames: 92.386%   (182 / 197),0,0,of voice breaks: 0   (0 seconds / 1.670476 seconds),5.749,431.117,1.924,3.139,19.081,1.864,6.602,9.241,40.1,0.805,0.285,7.278,779.239,1750.534,2903.2,4061.982
34964_TÃ_single,0.373,71.053,-14.253,163.819,165.882,33.219,93.38,209.178,42,39,6.272,1.66,24.39,of locally unvoiced frames: 24.390%   (10 / 41),2,15.492,of voice breaks: 15.492%   (0.057816 seconds / 0.373202 seconds),3.38,212.007,0.697,1.098,7.436,0.787,1.819,3.118,9.2,0.793,0.305,7.187,904.167,1622.321,2634.566,3598.455
34968_,1.391,46.856,-17.452,136.786,131.569,14.83,94.954,143.601,14,13,7.653,1.031,92.025,of locally unvoiced frames: 92.025%   (150 / 163),0,0,of voice breaks: 0   (0 seconds / 1.391319 seconds),9.825,751.894,4.656,4.391,15.058,1.658,5.364,5.848,29.026,0.842,0.214,8.605,708.098,1755.56,2855.832,4047.729
34972_TA_single,0.429,73.498,-20.33,153.258,153.493,1.028,151.751,156.3,63,62,6.514,0.049,0,of locally unvoiced frames: 0   (0 / 48),0,0,of voice breaks: 0   (0 seconds / 0.429335 seconds),0.336,21.882,0.132,0.19,2.067,0.261,0.428,0.612,0.827,0.993,0.007,25.254,775.317,1513.279,2490.891,3274.293
34976_,1.605,40.205,-15.365,141.732,141.732,5.866,137.584,145.88,3,2,7.081,0.303,97.884,of locally unvoiced frames: 97.884%   (185 / 189),0,0,of voice breaks: 0   (0 seconds / 1.604821 seconds),6.046,428.074, --undefined-- , --undefined-- , --undefined--, --undefined-- , --undefined-- , --undefined-- , --undefined-- ,0.821,0.23,7.064,775.38,1707.946,2891.513,4123.531
