sound name,total duration,intensity,spectraltilt,median F0,mean F0,sd F0,min F0,max F0,number pulses,number periods,mean periods,sd period,fraction of locally unvoiced frames,fraction,number of voice breaks,degree of voice breaks,degree,jitter local,jitter local abs,jitter rap,jitter ppq5,shimmer local,shimmer local db,shimmer apq3,shimmer apq5,shimmer apq11,mean autocorr,mean NHR,mean HNR,F1,F2,F3,F4
17611_TU_single,0.425,62.911,-30.067,154.683,153.515,3.561,146.416,158.599,64,63,6.513,0.16,0,of locally unvoiced frames: 0   (0 / 48),0,0,of voice breaks: 0   (0 seconds / 0.425187 seconds),0.55,35.81,0.189,0.199,2.647,0.308,0.627,0.814,1.271,0.994,0.007,27.176,301.072,846.718,2447.046,3388.557
17614_,2.08,25.675,-19.214,141.536,141.536, --undefined-- ,141.536,141.536,3,2,7.158,0.588,87.805,of locally unvoiced frames: 87.805%   (216 / 246),0,0,of voice breaks: 0   (0 seconds / 2.080225 seconds),11.618,831.607, --undefined-- , --undefined-- , --undefined--, --undefined-- , --undefined-- , --undefined-- , --undefined-- ,0.68,0.471,3.273,806.799,1860.445,2916.16,3880.665
17617_TỤ_single,0.18,60.696,-28.574,171.277,259.015,103.002,165.949,395.203,36,34,4.206,1.607,5.556,of locally unvoiced frames: 5.556%   (1 / 18),0,0,of voice breaks: 0   (0 seconds / 0.180384 seconds),11.038,464.273,7.442,8.348,23.66,3.41,14.734,11.525,17.45,0.77,0.419,6.455,370.043,849.035,2669.089,3379.542
17620_,1.555,31.323,-28.528,286.819,290.732,88.343,106.411,403.008,43,40,3.653,1.554,83.607,of locally unvoiced frames: 83.607%   (153 / 183),1,23.848,of voice breaks: 23.848%   (0.370861 seconds / 1.555096 seconds),9.868,360.439,5.821,7.142,27.389,3.144,14.405,14.119,25.556,0.792,0.344,7.339,686.95,1622.965,2829.889,3790.719
17623_TỤ_single,0.171,64.518,-27.132,171.744,215.426,83.476,161.518,370.367,31,30,4.785,1.494,0,of locally unvoiced frames: 0   (0 / 17),0,0,of voice breaks: 0   (0 seconds / 0.170890 seconds),4.587,219.451,1.907,1.347,11.076,2.346,3.851,5.781,8.871,0.875,0.18,14.036,362.403,851.012,2705.678,3454.494
17626_,3.616,54.791,-21.907,138.307,140.882,11.793,123.773,176.109,106,103,7.121,0.631,78.14,of locally unvoiced frames: 78.140%   (336 / 430),2,3.016,of voice breaks: 3.016%   (0.109061 seconds / 3.615842 seconds),2.953,210.282,1.333,1.33,13.608,1.419,4.821,8.053,18.067,0.918,0.115,15.695,739.894,1815.943,2872.869,3882.056
17629_thả,0.193,65.134,-23.933,105.431,112.047,16.05,94.891,135.122,21,20,8.904,1.249,0,of locally unvoiced frames: 0   (0 / 20),0,0,of voice breaks: 0   (0 seconds / 0.192775 seconds),2.653,236.231,0.64,1.17,6.948,0.699,1.627,3.085,3.781,0.939,0.07,13.947,834.457,1570.077,2540.344,3670.645
17632_,2.896,57.538,-21.809,127.053,129.523,14.92,96.146,177.311,168,163,7.702,0.946,55.523,of locally unvoiced frames: 55.523%   (191 / 344),4,52.36,of voice breaks: 52.360%   (1.516174 seconds / 2.895671 seconds),2.678,206.238,1.227,1.297,11.982,1.329,3.951,5.865,14.75,0.928,0.105,16.501,626.406,1787.262,2808.658,3805.272
17635_thả,0.164,64.839,-23.081,108.363,113.478,15.999,97.106,136.433,17,16,8.755,1.248,0,of locally unvoiced frames: 0   (0 / 16),0,0,of voice breaks: 0   (0 seconds / 0.163777 seconds),2.479,217.073,0.508,0.975,3.656,0.316,1.079,1.739,3.597,0.962,0.04,15.501,843.34,1555.705,2581.854,3597.355
17638_,4.099,56.086,-20.594,126.758,128.353,15.203,101.235,184.398,174,169,7.798,0.941,67.213,of locally unvoiced frames: 67.213%   (328 / 488),4,67.37,of voice breaks: 67.370%   (2.761297 seconds / 4.098729 seconds),2.261,176.289,0.964,1.031,11.208,1.243,3.049,5.942,14.603,0.942,0.079,16.39,740.715,1834.376,2865.756,3858.662
