sound name,total duration,intensity,spectraltilt,median F0,mean F0,sd F0,min F0,max F0,number pulses,number periods,mean periods,sd period,fraction of locally unvoiced frames,fraction,number of voice breaks,degree of voice breaks,degree,jitter local,jitter local abs,jitter rap,jitter ppq5,shimmer local,shimmer local db,shimmer apq3,shimmer apq5,shimmer apq11,mean autocorr,mean NHR,mean HNR,F1,F2,F3,F4
tết ,0.117,66.322,-17.844,164.883,165.811,4.803,160.372,173.608,1,0, --undefined-- , --undefined-- ,0,of locally unvoiced frames: 0   (0 / 21),0,0,of voice breaks: 0   (0 seconds / 0 seconds), --undefined-- , --undefined-- , --undefined-- , --undefined-- , --undefined--, --undefined-- , --undefined-- , --undefined-- , --undefined-- ,0.984,0.017,20.154,457.274,1925.906,2912.403,4077.378
tết ,0.107,66.819,-17.844,165.863,166.749,4.847,161.283,174.498,14,13,5.959,0.194,0,of locally unvoiced frames: 0   (0 / 18),0,0,of voice breaks: 0   (0 seconds / 0.106967 seconds),0.859,51.171,0.133,0.31,5.297,0.503,0.819,2.374,9.049,0.979,0.022,17.596,457.274,1925.906,2912.403,4077.378
tệt ,0.137,68.285,-18.597,128.78,128.942,8.322,115.181,142.002,1,0, --undefined-- , --undefined-- ,0,of locally unvoiced frames: 0   (0 / 25),0,0,of voice breaks: 0   (0 seconds / 0 seconds), --undefined-- , --undefined-- , --undefined-- , --undefined-- , --undefined--, --undefined-- , --undefined-- , --undefined-- , --undefined-- ,0.979,0.022,18.089,353.115,1943.389,2912.699,3383.052
tệt ,0.122,66.758,-18.597,131.859,131.403,7.115,120.243,143.187,14,13,7.745,0.479,0,of locally unvoiced frames: 0   (0 / 22),0,0,of voice breaks: 0   (0 seconds / 0.121750 seconds),1.585,122.716,0.27,0.278,3.651,0.331,0.833,0.628,1.278,0.978,0.025,18.784,353.115,1943.389,2912.699,3383.052
đề ,0.245,66.61,-17.09,117.615,117.02,4.717,105.704,123.93,1,0, --undefined-- , --undefined-- ,0,of locally unvoiced frames: 0   (0 / 51),0,0,of voice breaks: 0   (0 seconds / 0 seconds), --undefined-- , --undefined-- , --undefined-- , --undefined-- , --undefined--, --undefined-- , --undefined-- , --undefined-- , --undefined-- ,0.989,0.012,25.34,300.943,2120.898,2834.851,3684.074
đề ,0.206,64.942,-17.09,117.652,116.82,2.524,113.056,121.011,23,22,8.571,0.198,0,of locally unvoiced frames: 0   (0 / 42),0,0,of voice breaks: 0   (0 seconds / 0.205935 seconds),0.45,38.591,0.154,0.194,2.053,0.176,0.808,0.83,1.334,0.996,0.004,27.124,300.943,2120.898,2834.851,3684.074
để ,0.217,65.462,-17.055,105.513,109.052,13.945,93.988,130.644,1,0, --undefined-- , --undefined-- ,0,of locally unvoiced frames: 0   (0 / 45),0,0,of voice breaks: 0   (0 seconds / 0 seconds), --undefined-- , --undefined-- , --undefined-- , --undefined-- , --undefined--, --undefined-- , --undefined-- , --undefined-- , --undefined-- ,0.976,0.025,17.956,383.826,2164.507,2939.767,3768.804
để ,0.183,63.58,-17.055,109.694,111.566,9.881,99.979,128.991,19,18,8.957,0.81,0,of locally unvoiced frames: 0   (0 / 36),0,0,of voice breaks: 0   (0 seconds / 0.182688 seconds),2.399,214.878,0.607,0.552,6.065,0.546,2.907,3.763,9.047,0.961,0.042,14.955,383.826,2164.507,2939.767,3768.804
đệ ,0.198,63.064,-16.864,88.649,148.76,114.003,71.519,455.122,3,0, --undefined-- , --undefined-- ,10,of locally unvoiced frames: 10.000%   (4 / 40),1,29.44,of voice breaks: 29.440%   (0.058333 seconds / 0.198142 seconds), --undefined-- , --undefined-- , --undefined-- , --undefined-- , --undefined--, --undefined-- , --undefined-- , --undefined-- , --undefined-- ,0.777,0.391,7.208,422.726,2086.464,2819.891,3695.704
đệ ,0.2,63.599,-16.864,432.13,314.595,147.704,135.961,452.576,43,39,3.519,2.14,5,of locally unvoiced frames: 5.000%   (2 / 40),0,0,of voice breaks: 0   (0 seconds / 0.199689 seconds),2.371,83.416,1.424,1.606,25.768,3.107,14.23,14.265,28.387,0.776,0.398,8.139,422.726,2086.464,2819.891,3695.704
đê ,0.205,67.048,-20.929,137.823,137.735,1.501,134.136,140.005,1,0, --undefined-- , --undefined-- ,0,of locally unvoiced frames: 0   (0 / 42),0,0,of voice breaks: 0   (0 seconds / 0 seconds), --undefined-- , --undefined-- , --undefined-- , --undefined-- , --undefined--, --undefined-- , --undefined-- , --undefined-- , --undefined-- ,0.994,0.006,28.072,356.227,2116.019,2916.629,3864.066
đê ,0.21,65.035,-20.929,132.424,132.448,0.884,129.855,134.406,25,24,7.557,0.063,0,of locally unvoiced frames: 0   (0 / 43),0,0,of voice breaks: 0   (0 seconds / 0.210479 seconds),0.287,21.695,0.083,0.124,1.836,0.165,0.443,0.52,1.407,0.997,0.003,30.245,356.227,2116.019,2916.629,3864.066
đế ,0.229,63.856,-15.459,115.979,118.033,5.514,112.66,134.044,1,0, --undefined-- , --undefined-- ,0,of locally unvoiced frames: 0   (0 / 48),0,0,of voice breaks: 0   (0 seconds / 0 seconds), --undefined-- , --undefined-- , --undefined-- , --undefined-- , --undefined--, --undefined-- , --undefined-- , --undefined-- , --undefined-- ,0.986,0.015,21.605,341.803,2158.201,2894.744,3754.346
đế ,0.211,63.239,-15.459,115.96,117.357,3.476,114.476,129.09,23,22,8.489,0.306,0,of locally unvoiced frames: 0   (0 / 43),0,0,of voice breaks: 0   (0 seconds / 0.211431 seconds),1.009,85.636,0.216,0.353,2.52,0.22,0.642,1.019,1.871,0.988,0.013,21.935,341.803,2158.201,2894.744,3754.346
đễ ,0.193,63.773,-18.343,147.615,134.1,27.321,87.172,174.04,2,0, --undefined-- , --undefined-- ,2.564,of locally unvoiced frames: 2.564%   (1 / 39),0,0,of voice breaks: 0   (0 seconds / 0.192625 seconds), --undefined-- , --undefined-- , --undefined-- , --undefined-- , --undefined--, --undefined-- , --undefined-- , --undefined-- , --undefined-- ,0.763,0.403,7.394,423.345,2098.358,2864.617,3865.227
đễ ,0.221,62.23,-18.343,168.09,247.947,163.482,66.276,466.366,39,38,5.331,4.229,2.174,of locally unvoiced frames: 2.174%   (1 / 46),0,0,of voice breaks: 0   (0 seconds / 0.220860 seconds),9.989,532.481,4.511,3.675,20.166,2.377,10.226,15.338,17.714,0.771,0.374,8.689,423.345,2098.358,2864.617,3865.227
