sound name,total duration,intensity,spectraltilt,median F0,mean F0,sd F0,min F0,max F0,number pulses,number periods,mean periods,sd period,fraction of locally unvoiced frames,fraction,number of voice breaks,degree of voice breaks,degree,jitter local,jitter local abs,jitter rap,jitter ppq5,shimmer local,shimmer local db,shimmer apq3,shimmer apq5,shimmer apq11,mean autocorr,mean NHR,mean HNR,F1,F2,F3,F4
7640_,40.364,59.082,-18.529,154.596,152.446,11.151,115.136,175.894,315,310,6.565,0.533,94.897,of locally unvoiced frames: 94.897%   (4593 / 4840),4,35.8,of voice breaks: 35.800%   (14.450221 seconds / 40.363988 seconds),1.432,94.027,0.674,0.71,6.814,0.818,2.145,3.315,8.029,0.96,0.055,19.234,822.776,1860.625,2916.537,3998.252
7644_TỆT_single,0.222,73.589,-16.372,146.552,144.947,6.268,130.751,154.288,30,29,6.887,0.356,0,of locally unvoiced frames: 0   (0 / 23),0,0,of voice breaks: 0   (0 seconds / 0.222218 seconds),0.925,63.681,0.199,0.196,3.716,0.323,0.686,1.313,3.399,0.975,0.029,19.632,470.41,1824.657,2757.602,3699.475
7648_,0.879,39.597,-20.815,197.242,196.941,1.573,195.24,198.342,6,5,5.116,0.726,91.176,of locally unvoiced frames: 91.176%   (93 / 102),0,0,of voice breaks: 0   (0 seconds / 0.878536 seconds),16.312,834.557,7.878,3.85,56.401,7.003,14.669, --undefined-- , --undefined-- ,0.602,0.709,1.862,873.343,1957.659,3090.222,4106.902
7652_TỆT_single,0.258,70.652,-14.591,135.477,135.316,8.25,113.745,165.972,33,32,7.49,0.613,0,of locally unvoiced frames: 0   (0 / 28),0,0,of voice breaks: 0   (0 seconds / 0.258393 seconds),1.792,134.24,0.354,0.602,6.841,0.924,1.638,3.022,6.13,0.931,0.104,17.067,497.424,1821.374,2692.997,3767.72
7656_,2.45,32.626,-18.122,191.146,191.146, --undefined-- ,191.146,191.146,3,2,5.73,0.457,99.655,of locally unvoiced frames: 99.655%   (289 / 290),0,0,of voice breaks: 0   (0 seconds / 2.449565 seconds),11.279,646.299, --undefined-- , --undefined-- , --undefined--, --undefined-- , --undefined-- , --undefined-- , --undefined-- ,0.655,0.526,2.791,713.321,1709.607,2726.179,3937.262
7660_TẾT_single,0.217,72.06,-15.691,179.377,183.396,18.644,160.776,210.872,37,36,5.502,0.554,0,of locally unvoiced frames: 0   (0 / 23),0,0,of voice breaks: 0   (0 seconds / 0.217050 seconds),1.566,86.193,0.202,0.423,5.647,0.808,1.235,2.159,6.297,0.949,0.063,15.06,533.629,1785.312,2538.197,3544.641
7664_,0.915,42.751,-21.137,166.76,163.687,18.324,144.021,180.28,5,4,6.151,0.906,94.34,of locally unvoiced frames: 94.340%   (100 / 106),0,0,of voice breaks: 0   (0 seconds / 0.914711 seconds),15.87,976.074,9.057, --undefined-- ,47.038,5.357,31.359, --undefined-- , --undefined-- ,0.652,0.562,2.869,668.952,1762.699,2863.201,3981.528
7668_TẾT_single,0.207,71.559,-17.067,183.975,187.328,15.489,166.863,208.909,35,34,5.325,0.441,0,of locally unvoiced frames: 0   (0 / 21),0,0,of voice breaks: 0   (0 seconds / 0.206714 seconds),0.776,41.334,0.101,0.193,3.657,0.322,0.694,1.51,5.545,0.98,0.021,18.518,557.411,1633.196,2262.02,3339.247
7672_,4.289,63.587,-14.639,153.49,154.717,13.187,127.852,204.803,158,156,6.474,0.582,76.321,of locally unvoiced frames: 76.321%   (390 / 511),1,1.983,of voice breaks: 1.983%   (0.085037 seconds / 4.288787 seconds),1.467,95.012,0.651,0.751,9.828,1.076,2.873,5.173,12.175,0.922,0.109,15.608,658.072,1661.303,2694.994,3801.515
7676_đà,0.247,72.66,-11.959,126.365,127.413,4.635,122.444,140.671,30,29,7.844,0.295,0,of locally unvoiced frames: 0   (0 / 26),0,0,of voice breaks: 0   (0 seconds / 0.246700 seconds),0.71,55.658,0.268,0.255,7.416,0.713,3.232,3.076,4.332,0.91,0.117,13.427,789.585,1625.154,2659.682,3389.969
